 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 5
   nballs ......: 40
   itrial ......: 19
   kappa .......: 0.39
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.3776412907378841D+00
   pol perimeter: 5.8778525229247309D+00

 OPTIMIZATION SUMMARY
   r ......:  1.6250262564038362D-01
   csupn ..:  8.3162934316760584D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  19
   #evalf .:  144
   #evalg .:  315
   #evalc .:  333
   #evalj .:  315
   #evalhl :  315
   outiter :  21
   totiter :  105
   nwcalls :  21
   nwtotit :  210
   opt time:  0.18 seconds

 BALLS (index, center abcissa, center ordinate)
  1   2.3874166685466788D-01  -7.7787753942492799D-01
  2   5.0695355727563651D-01  -6.8823086800227262D-01
  3  -4.7381312167324047D-01  -7.1489170314152728D-01
  4  -2.1485286371254478D-01  -7.0698368440044579D-01
  5  -4.5378604667314455D-03  -6.6977377612353295D-01
  6   2.7071388906475052D-01  -5.2458843468379324D-01
  7   5.7638516149006092D-01  -4.6934759950329313D-01
  8  -6.3997034798640096D-01  -5.1268838302989750D-01
  9  -3.9258662688806067D-01  -4.5679066613459407D-01
 10  -1.6724971485230589D-01  -4.1753655069430418D-01
 11   8.2241512788815349D-02  -3.9580751676291720D-01
 12   3.6523334324816042D-01  -2.9522344881695034D-01
 13   6.7019119476703037D-01  -2.4258097126446512D-01
 14  -6.2707530028420677D-01  -2.4926034375827111D-01
 15  -3.8145135302241218D-01  -1.9196668871897046D-01
 16  -1.1074613380957418D-01  -1.7407350204751562D-01
 17   1.5872749118713994D-01  -1.3060281190977044D-01
 18   4.6224893152383112D-01  -6.4407082173220651D-02
 19   7.5545892579090690D-01   7.3498164825914584D-03
 20  -8.1077104548522028D-01  -4.5744606557358874D-02
 21  -5.8131038563102388D-01   3.2563705797244998D-02
 22  -3.0576769907631723D-01   5.9619131958205465D-02
 23  -4.3828794905714757D-02   8.8104594720288670D-02
 24   2.4653122062991115D-01   1.0252165487028081D-01
 25   5.3873290247743644D-01   1.8261023500080559D-01
 26   8.2912156216916821D-01   2.5818149532727630D-01
 27  -8.0328932154181554D-01   2.4136694196032146D-01
 28  -5.1059349488400541D-01   2.5532813894097717D-01
 29  -2.3246779365193931D-01   3.2388777392253304D-01
 30   5.2045723943913255D-02   3.2028769911326133D-01
 31   3.3309483618684255D-01   3.5572152450314420D-01
 32   6.3827954168128187D-01   4.1525845625042962D-01
 33  -6.7897001603707730D-01   4.7998675675311958D-01
 34  -4.1339290231577497D-01   5.2496115813597499D-01
 35  -1.1269943219460227D-01   5.6141773113680216D-01
 36   1.2387176317939111D-01   5.6857141735553385D-01
 37   4.2890987735126440D-01   5.5746718416031726D-01
 38  -2.8676602705683080D-01   7.6021769256319149D-01
 39  -1.3644324972738112D-02   8.3805815334715517D-01
 40   2.4096189297093748D-01   7.7691561138048659D-01
