 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 11
   nballs ......: 50
   itrial ......: 4509
   kappa .......: 0.62
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.9735244960057869D+00
   pol perimeter: 6.1981162505114531D+00

 OPTIMIZATION SUMMARY
   r ......:  1.6221972829501324D-01
   csupn ..:  7.6366912793446318D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  4509
   #evalf .:  158
   #evalg .:  311
   #evalc .:  339
   #evalj .:  311
   #evalhl :  321
   outiter :  21
   totiter :  111
   nwcalls :  21
   nwtotit :  210
   opt time:  0.25 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -8.0703659891201340D-01   1.1302232685479076D-01
  2  -6.4039733252008646D-01  -1.4584990245214749D-01
  3  -5.2622798068209020D-01  -4.2340941052339920D-01
  4  -4.5528951694261349D-01  -7.2399935302108076D-01
  5  -5.8540618901044827D-01   2.9294100540259749D-01
  6  -5.2126079916486889D-01   4.1389678206671443D-02
  7  -3.6753803473725338D-01  -2.2795136295025126D-01
  8  -2.8509854065986689D-01  -5.2257870015912977D-01
  9  -2.5214546412724315D-01  -8.3091353816984304D-01
 10  -4.0381031954491381D-01   5.2000462205074072D-01
 11  -3.2150001607075934D-01   2.4902088915648538D-01
 12  -2.4936280095504415D-01  -1.7541607124497954D-02
 13  -1.2609479804955967D-01  -2.9475750764524378D-01
 14  -8.6665991521449132D-02  -5.8096307788055124D-01
 15  -2.9374182596221942D-02  -8.5468826148561983D-01
 16  -2.5569221377326512D-01   7.8151469693439135D-01
 17  -1.6858636388868325D-01   4.9957176620033972D-01
 18  -7.9411883129804170D-02   2.1603749313028778D-01
 19   9.5095884282387477D-03  -5.9457595900731110D-02
 20   1.1145501114325346D-01  -3.5444965369081499D-01
 21   1.6458636286492695D-01  -6.2272133369194094D-01
 22   2.3654711724372568D-01  -8.8123057284347672D-01
 23   1.4396154049309877D-02   6.5423685478999560D-01
 24   9.9899060367592205D-02   3.8833490745093352D-01
 25   1.9415834998699100D-01   1.3091432689630580D-01
 26   2.6175130741879155D-01  -1.6236717396767897D-01
 27   3.8304723275329439D-01  -4.4151546358472898D-01
 28   4.1988841719190168D-01  -7.2345153984586641D-01
 29   2.9373443713618530D-01   5.8328182127542794D-01
 30   3.7831694734203919D-01   3.5170527802232182D-01
 31   4.1397026766811479D-01   4.6817803899564477D-02
 32   5.2579464176530466D-01  -2.3573236940923012D-01
 33   6.9308638231941266D-01  -4.4864411806781329D-01
 34   5.8225736763132052D-01   5.7192189039182251D-01
 35   5.9241236160977728D-01   2.7218278258266060D-01
 36   6.6374952643772878D-01  -1.3672287991974485D-02
 37   7.9372147916448943D-01  -2.8742407990916974D-01
 38   2.1610654909946367D-01   8.4719082157386105D-01
 39  -6.7431064469218571D-01   5.5664513118049230D-01
 40   8.4578380876440118D-01   2.0294948791231826D-01
 41   4.9372517268931448D-01   7.8296275622218992D-01
 42  -5.0145290572927648D-01   7.8535986498580057D-01
 43  -9.2033247614975000D-01  -9.6362701261108769D-02
 44   6.3402794069527302D-01  -6.1994401718718151D-01
 45  -7.9882897179722279D-01  -3.4252483174137555D-01
 46  -8.6372641047604870D-01   3.4978319897852289D-01
 47  -4.9891334918656736D-02   9.3151310751532734D-01
 48   8.0643992452758562D-01   4.6395023924712619D-01
 49   9.2688723954572860D-01  -7.4390268936643356D-02
 50  -7.0003379124419907D-01  -6.0565431888217047D-01
