 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 12
   nballs ......: 10
   itrial ......: 1928
   kappa .......: 0.79
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 3.0000000000000000D+00
   pol perimeter: 6.2116570824604969D+00

 OPTIMIZATION SUMMARY
   r ......:  3.8552557785453406D-01
   csupn ..:  4.3065830901412028D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1928
   #evalf .:  452
   #evalg .:  378
   #evalc .:  666
   #evalj .:  378
   #evalhl :  382
   outiter :  24
   totiter :  142
   nwcalls :  24
   nwtotit :  240
   opt time:  0.05 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -5.8700433499664884D-01  -4.2005255679533549D-01
  2  -1.8889015434018050D-01  -7.0494765307717522D-01
  3  -7.1838694471654707D-01   7.0274017481951973D-02
  4   4.4489518862547133D-11   1.1542165790700040D-11
  5   2.9833438786720162D-01  -6.5727835251015443D-01
  6  -5.1605749873353290D-01   5.1605749883375940D-01
  7  -7.0274017414276524D-02   7.1838694470674014D-01
  8   6.5727835265684298D-01  -2.9833438804191287D-01
  9   4.2005255678239584D-01   5.8700433515470984D-01
 10   7.0494765301273510D-01   1.8889015439688278D-01
