 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 12
   nballs ......: 20
   itrial ......: 419
   kappa .......: 0.77
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 3.0000000000000000D+00
   pol perimeter: 6.2116570824604969D+00

 OPTIMIZATION SUMMARY
   r ......:  2.6285798973659935D-01
   csupn ..:  4.0074734641848409D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  419
   #evalf .:  190
   #evalg .:  344
   #evalc .:  382
   #evalj .:  344
   #evalhl :  349
   outiter :  22
   totiter :  129
   nwcalls :  22
   nwtotit :  220
   opt time:  0.09 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.1311708933397584D-01   3.1255408567787704D-02
  2   5.5690111861446912D-01  -6.7148011632568172D-01
  3   6.9361073400226381D-01  -3.2655954355009370D-01
  4   4.5246350630949445D-01   6.2783476143579769D-03
  5   6.8405959085638535D-01   4.0736488986345309D-01
  6   1.5094356671333206D-01  -8.4982932159801328D-01
  7   2.1015169016142965D-01  -3.8330797023464247D-01
  8  -4.4936797462334895D-03   1.2109020249343431D-02
  9   2.3371147458215336D-01   4.0185454882740951D-01
 10   4.6461335601074460D-01   7.9457356708990223D-01
 11  -1.4990937238763635D-01  -7.2630614971987417D-01
 12  -2.5553291972105174D-01  -3.6019148911168847D-01
 13  -2.1862602252234864D-01   4.1527502727964660D-01
 14   1.3890081329879013D-02   8.0515409075624289D-01
 15  -5.3734531667355678D-01  -7.3713525432946647D-01
 16  -7.1615839883935817D-01  -3.4414779557681696D-01
 17  -4.6249743308954999D-01   3.6384993941379465D-02
 18  -4.3586471323592024D-01   8.1046301405794874D-01
 19  -9.2412663875558154D-01   5.0404291936637390D-02
 20  -6.8145118380670999D-01   4.3165013657594409D-01
