 PROBLEM SUMMARY
   problem .....: cesaro    
   nballs ......: 30
   itrial ......: 6514
   kappa .......: 0.83
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 7.2201653705684687D-01
   pol perimeter: 7.1111111111111018D+00

 OPTIMIZATION SUMMARY
   r ......:  1.0523192052199588D-01
   csupn ..:  8.0811425329230246D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  6514
   #evalf .:  80516
   #evalg .:  6405
   #evalc .:  80722
   #evalj .:  6405
   #evalhl :  6429
   outiter :  23
   totiter :  6199
   nwcalls :  23
   nwtotit :  230
   opt time:  **** seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.1499542597736438D-01   7.1574507880047444D-01
  2   9.1184224443451145D-01   9.4457522287599927D-01
  3   8.2267537579545091D-01   8.0155053015102551D-01
  4   7.1574393205544173D-01   9.1499513649678754D-01
  5   7.3569697964386194D-01   6.2388614320196512D-01
  6   6.4288700965970491D-01   7.3584059836874460D-01
  7   9.1497899186064546D-01   2.8423650600703981D-01
  8   7.5096679241983344D-01   3.6133054336433335D-01
  9   6.7009075915144944D-01   4.4432577494838366D-01
 10   5.6485850317478736D-01   5.4924506094193770D-01
 11   4.9999999992956268D-01   7.2548201376577204D-01
 12   2.8425606793130698D-01   9.1499513655733522D-01
 13   9.2562800762724051D-01   7.4515566639032124D-02
 14   8.0857240979692324D-01   1.9025583808328958D-01
 15   6.2325588513728925D-01   2.5778060832051092D-01
 16   5.0000000009372225D-01   3.6114315111759654D-01
 17   4.3514149674028435D-01   5.4924506098965764D-01
 18   3.5711299027851717D-01   7.3584059826463166D-01
 19   1.7732462410644653D-01   8.0155053021821854D-01
 20   8.8157755564855680D-02   9.4457522280571993D-01
 21   7.1576328038514192D-01   8.5020526972812940D-02
 22   3.7674411486462867D-01   2.5778060835775712D-01
 23   3.2990924096281860D-01   4.4432577478225410D-01
 24   2.6430302020172247D-01   6.2388614314899882D-01
 25   8.5004574026811358D-02   7.1574507895841821D-01
 26   1.9142759016523361D-01   1.9025583807990995D-01
 27   2.4903320760479253D-01   3.6133054349226112D-01
 28   2.8423671954462271D-01   8.5020526998399251D-02
 29   8.5021008215991914D-02   2.8423650598681377D-01
 30   7.4371992228714198D-02   7.4515566649687323D-02
