 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 9
   nballs ......: 40
   itrial ......: 90
   kappa .......: 0.87
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.8925442435894264D+00
   pol perimeter: 6.1563625798620381D+00

 OPTIMIZATION SUMMARY
   r ......:  1.8061272327275071D-01
   csupn ..:  8.6105078622722431D-09
   istop ..:  2
   ierr ...:  0
   itrial .:  90
   #evalf .:  1732
   #evalg .:  412
   #evalc .:  1930
   #evalj .:  412
   #evalhl :  423
   outiter :  23
   totiter :  193
   nwcalls :  23
   nwtotit :  230
   opt time:  0.45 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -7.8508308293139195D-01  -4.7281115370440097D-01
  2  -5.2641087509306250D-01  -6.5973226206030211D-01
  3  -2.9351690809576270D-01  -7.9718894374053273D-01
  4  -2.1337009455489730D-02  -8.5817447425166138D-01
  5   3.0561489163911792D-01  -8.6797378304824058D-01
  6  -8.3499221967421267D-01  -1.6021070504429363D-01
  7  -5.4961736499881708D-01  -3.2616873477449343D-01
  8  -2.9251019253218663D-01  -4.5382446666939563D-01
  9  -7.5709645279822962D-02  -5.4418456852319264D-01
 10   2.0498615227557171D-01  -6.2479450056467600D-01
 11   5.4463496165090963D-01  -6.5446954578273930D-01
 12  -9.0001167905785973D-01   1.5214110477498430D-01
 13  -6.0503283935759011D-01  -6.3586077138499961D-03
 14  -3.2190124993252062D-01  -1.1835663685578031D-01
 15  -8.0890545667537561D-02  -1.9891561849781836D-01
 16   1.4442997791580511D-01  -3.0889509625520095D-01
 17   4.3044856063910003D-01  -4.0675017011076431D-01
 18   7.7252454490870726D-01  -4.4733949965014691D-01
 19  -7.1392342840797041D-01   3.0915565836047315D-01
 20  -4.1686569671634643D-01   2.0830005808556351D-01
 21  -1.4201122463040597D-01   1.2558687541320354D-01
 22   1.3022591967707328D-01   3.8739073638162078D-02
 23   3.5972655093628730D-01  -8.8195706712216937D-02
 24   6.1251293307648358D-01  -1.9667130471305744D-01
 25  -6.9642692869908118D-01   5.8052005823825437D-01
 26  -4.0922280425195373D-01   4.7157854467946636D-01
 27  -1.7547265232224507D-01   4.3744406308150513D-01
 28   1.1024748768413666D-01   3.0717484805368428D-01
 29   4.1521910691814606D-01   2.2711544380261231D-01
 30   6.4583025171918940D-01   9.5633930618392080D-02
 31   8.8774662766903578D-01  -1.3727037636882683D-01
 32  -4.6873326724556935D-01   7.6095828724584447D-01
 33  -2.0057874032829590D-01   7.5535802769334448D-01
 34   7.7159099708065712D-02   6.0085544494591137D-01
 35   3.7625446614237390D-01   4.8701455009659195D-01
 36   6.9427728689514256D-01   4.1609835285332741D-01
 37   8.8443266698336576D-01   1.9300287207699476D-01
 38   3.3968708591915555D-05   9.1332074905529426D-01
 39   2.9756381023643119D-01   7.9811650741726026D-01
 40   5.9563372723958963D-01   6.9156290726146108D-01
