 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 4
   nballs ......: 18
   itrial ......: 3167
   kappa .......: 0.90
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.0000000000000000D+00
   pol perimeter: 4.0000000000000000D+00

 OPTIMIZATION SUMMARY
   r ......:  1.6063260426309445D-01
   csupn ..:  3.8262875090566695D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  3167
   #evalf .:  166
   #evalg .:  333
   #evalc .:  355
   #evalj .:  333
   #evalhl :  343
   outiter :  22
   totiter :  123
   nwcalls :  22
   nwtotit :  220
   opt time:  0.07 seconds

 BALLS (index, center abcissa, center ordinate)
  1   2.7897861603501178D-01   8.8324180415533238D-01
  2   3.7572911972089784D-01   6.2114842749113341D-01
  3   2.5002297468836404D-01   3.6238248208636070D-01
  4   6.2427088033623435D-01   6.2114842748663857D-01
  5   4.9999999991946242D-01   3.5872081592691435D-01
  6   3.7352404070728740D-01   9.9046513377109249D-02
  7   7.2102138412294559D-01   8.8324180429121246D-01
  8   7.4997702534028921D-01   3.6238248201483869D-01
  9   6.2647595937466427D-01   9.9046513369479172D-02
 10   8.7423496981695548D-01   6.2659578795882842D-01
 11   1.2576503003286874D-01   6.2659578785196968D-01
 12   9.9850034740579197D-01   3.6602509388672611D-01
 13   4.9999999994547761D-01   8.8357926773615936D-01
 14   8.7647352150378088D-01   1.0270058835799352D-01
 15   9.1568226405870112D-01   8.6327636179484946D-01
 16   1.2352647857748131D-01   1.0270058850274003D-01
 17   1.4996525372230449D-03   3.6602509390780436D-01
 18   8.4317735950028214D-02   8.6327636183083745D-01
