 PROBLEM SUMMARY
   problem .....: stoyan    
   nballs ......: 80
   itrial ......: 723
   kappa .......: 0.56
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 6.9111111111111101D-01
   pol perimeter: 7.0086495082125433D+00

 OPTIMIZATION SUMMARY
   r ......:  6.3655513437680195D-02
   csupn ..:  7.8144803961066600D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  723
   #evalf .:  146
   #evalg .:  310
   #evalc .:  325
   #evalj .:  310
   #evalhl :  321
   outiter :  21
   totiter :  111
   nwcalls :  21
   nwtotit :  210
   opt time:  0.72 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.6003845946950683D-01  -2.8378437056410005D-01
  2   8.8752425394390455D-01  -2.7862275048989005D-01
  3   9.4467480099829937D-01  -2.0273788751301403D-01
  4   9.8773820633683063D-01  -1.0879083223200756D-01
  5   8.3300613665726142D-01  -1.7484234445199079D-01
  6   8.9227446622677886D-01  -9.8813814488032961D-02
  7   9.5661479076927824D-01   2.5354507516262085D-04
  8   7.3544516358004741D-01  -1.1582697757252827D-01
  9   7.9573129218161343D-01  -5.7524335141942218D-02
 10   8.7041580160944687D-01   1.7392364297110691D-02
 11   9.5744865424147696D-01   9.4182988562745165D-02
 12   9.5129052428233163D-01   1.8251797412876025D-01
 13   6.8810997802933760D-01  -1.8365868880283930D-02
 14   7.6368563706746517D-01   5.0651869567014556D-02
 15   8.5037359052073069D-01   1.1914428943432095D-01
 16   8.4952219303237908D-01   2.1981237067052761D-01
 17   9.6060624560947017D-01   2.7350652559087596D-01
 18   5.8872280523169940D-01   2.5165770178105520D-02
 19   6.6403331946815536D-01   9.6371192450674645D-02
 20   7.4942512538178019D-01   1.6079926151483731D-01
 21   8.8044236678272081D-01   3.2191288949338903D-01
 22   9.7968141271990106D-01   3.8384409677033721D-01
 23   9.6053733936495445D-01   4.9412312997453689D-01
 24   4.8154005105782793D-01   4.0982980265128317D-02
 25   5.5439009211484047D-01   1.2815630396927766D-01
 26   6.3896245061609191D-01   1.9910437332563172D-01
 27   8.7730082607819315D-01   4.2414016236797281D-01
 28   8.5056875190101511D-01   5.2734801676633902D-01
 29   9.3093633161421807D-01   5.9821801748692272D-01
 30   9.5777615850231645D-02  -2.8193446973282921D-01
 31   1.5284243085490509D-01  -1.8605079308775729D-01
 32   2.3517808599740306D-01  -1.2270485604458765D-01
 33   3.1503668233337573D-01  -4.3229766859021350D-02
 34   3.8257464891979881D-01   3.9083661555119331D-02
 35   4.4423283405462027D-01   1.4016499193473231D-01
 36   5.2146544207947099D-01   2.2026845918527832D-01
 37   5.9020188501008730D-01   2.9011209918209241D-01
 38   7.9105494346327243D-01   4.6967358141681520D-01
 39   8.2569111325911204D-01   6.3252750002431490D-01
 40   2.9108178874573842D-02  -2.7672292478608185D-01
 41   4.8240305621171119D-02  -1.7857190102097728D-01
 42   1.3275661917032627D-01  -8.9973222779334727D-02
 43   2.1336526887414867D-01  -1.3122527522673606D-02
 44   2.8174483332986050D-01   6.8814374511947204D-02
 45   3.5318039190582035D-01   1.5112233260072452D-01
 46   4.1579209875372797D-01   2.5203656278059666D-01
 47   4.7947693434113192D-01   3.2619503142434664D-01
 48   5.7740912645165321D-01   3.8605014994169690D-01
 49   6.1753363618560531D-01   4.5354467396835563D-01
 50   6.5910094251067974D-01   5.1480340482138387D-01
 51   7.4200554704787047D-01   5.7805593203885219D-01
 52   4.0878769106661376D-02  -8.8234915286018067D-02
 53   1.0667402601506476D-01   1.5693123753034988D-02
 54   1.7036041005364316D-01   8.8784915107260776D-02
 55   2.5954112152132019D-01   1.6451221952493064D-01
 56   3.6192531489652641D-01   3.4815234180840648D-01
 57   4.5327059345103010D-01   3.9847540816356131D-01
 58   5.0728862619111414D-01   4.6786661815032854D-01
 59   1.9026266502097447D-02   2.1305990342704011D-02
 60   5.4560890858013328D-02   1.1484207927310398D-01
 61   1.4585600108797422D-01   1.8127194430058979D-01
 62   4.0268303612760908D-01   5.1539402045766325D-01
 63   5.0863140256991879D-01   5.6416395907419969D-01
 64   5.4398631007901166D-01   6.3640768592880326D-01
 65   4.4142009319238285D-02   1.9351537385974976D-01
 66   1.2916500115501900D-01   2.8124620235096504D-01
 67   1.6989644446794192D-01   3.3868152179971900D-01
 68   3.1252040015675897D-01   5.0711961250681692D-01
 69   3.4717398037316366D-01   6.1907331435973545D-01
 70   4.3871610143498385D-01   6.2632591558036899D-01
 71   2.9650364813629527D-02   2.9570868817580132D-01
 72   5.6822359671875732D-02   3.8073486580654542D-01
 73   1.3482340515103580D-01   4.4079406366387980D-01
 74   2.2456988325940819D-01   5.1716639442645629D-01
 75   2.6379386581796788D-01   6.1805236898630000D-01
 76   3.6415250272676690D-02   4.6166824130213857D-01
 77   1.2297069458866325D-01   5.4593269045851311D-01
 78   1.7182853167181980D-01   6.2835707319005507D-01
 79   2.9250256250524791D-02   5.7041705501369466D-01
 80   6.0485609236415452D-02   6.4681151702578965D-01
