 PROBLEM SUMMARY
   problem .....: stoyan    
   nballs ......: 30
   itrial ......: 53
   kappa .......: 0.27
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 6.9111111111111101D-01
   pol perimeter: 7.0086495082125433D+00

 OPTIMIZATION SUMMARY
   r ......:  1.0975787383152125D-01
   csupn ..:  9.9811162668217435D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  53
   #evalf .:  178
   #evalg .:  343
   #evalc .:  371
   #evalj .:  343
   #evalhl :  351
   outiter :  22
   totiter :  131
   nwcalls :  22
   nwtotit :  220
   opt time:  0.27 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.6983433858983870D-01   2.0369681615365604D-01
  2   9.0560593940859702D-01   3.6525577453558389D-01
  3   9.1812806194918939D-01   4.9437783211597597D-01
  4   9.7540858581468326D-01  -1.0097166554221385D-01
  5   9.0037601471075868D-01   5.2062079073861955D-02
  6   7.9379042631211361D-01   1.8637184605323881D-01
  7   7.2741129628415491D-01   4.9098714116920872D-01
  8   8.2007349080110692D-01   6.0146485752695600D-01
  9   9.0990501589830863D-01  -2.7062772908736299D-01
 10   7.9060172601890000D-01  -1.0819465078842119D-01
 11   6.9631687801397801D-01   2.5402867682159602D-02
 12   6.1375897642398092D-01   2.0705176842937745D-01
 13   5.5764638322502014D-01   4.0562691000624923D-01
 14   5.3996191669643412D-01   5.7477441825953857D-01
 15   5.0659145545250628D-01   7.1913532261452820D-02
 16   4.4366941778885755D-01   2.6762942929785460D-01
 17   3.7379247493434031D-01   4.5445204453087251D-01
 18   3.7393789766241009D-01   6.3812907192660673D-01
 19   3.1973313777782653D-01  -3.0480940717281285D-03
 20   3.2876030848245363D-01   1.6110418730683243D-01
 21   2.5671484176197201D-01   3.5717956413717361D-01
 22   2.2108865868659078D-01   5.6740050185290414D-01
 23   1.8143679625001077D-01  -1.1536815476097785D-01
 24   1.8628191105307035D-01   9.7699604784822439D-02
 25   7.8546468751465315D-02   2.8618326453444520D-01
 26   6.9324176897958140D-02   4.4795993645031823D-01
 27   8.7097968698849906D-02   5.9987792915144600D-01
 28   6.7419374152318551D-02  -2.4669214183992316D-01
 29   7.2424508991739467D-02  -7.7563094131735108D-02
 30   3.9764125345253053D-02   1.0721553525659411D-01
