 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 5
   nballs ......: 80
   itrial ......: 1623
   kappa .......: 0.23
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.3776412907378841D+00
   pol perimeter: 5.8778525229247309D+00

 OPTIMIZATION SUMMARY
   r ......:  1.1318557920546178D-01
   csupn ..:  6.6715815094653408D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1623
   #evalf .:  120
   #evalg .:  280
   #evalc .:  285
   #evalj .:  280
   #evalhl :  286
   outiter :  19
   totiter :  96
   nwcalls :  19
   nwtotit :  190
   opt time:  0.38 seconds

 BALLS (index, center abcissa, center ordinate)
  1   5.5889932516809460D-01  -7.2950626993253631D-01
  2   4.1741290401525616D-01  -7.1363130056634061D-01
  3   5.7217941198807620D-01  -5.5897282890009969D-01
  4   6.4356546772391354D-01  -4.1771933733334166D-01
  5   7.0450135773613054D-01  -2.4384570569881550D-01
  6   7.5749251943473594D-01  -6.7336896194630583D-02
  7   8.5499085025919164D-01   1.1099274106824608D-01
  8   2.6171808237576877D-01  -7.4708743033584479D-01
  9   3.6992297458948570D-01  -5.7187065034355544D-01
 10   4.5492215497660954D-01  -4.0264636501339429D-01
 11   5.2534735463363658D-01  -2.3880703845682041D-01
 12   6.0691136711644544D-01  -5.9456192309268109D-02
 13   6.9163380952556175D-01   1.3398635987423374D-01
 14   8.3985312076989516D-01   2.8787386843727708D-01
 15   7.0222706698631704D-02  -7.5025886517960860D-01
 16   1.7607298298533258D-01  -5.8128843752024639D-01
 17   2.5725256936261787D-01  -4.0593577333071656D-01
 18   3.2798108734374376D-01  -2.3928384432297808D-01
 19   4.1657911425143529D-01  -7.0854978852271433D-02
 20   5.0988887429628005D-01   1.0261265511184919D-01
 21   6.2852621316010915D-01   2.6243193552538013D-01
 22   7.1259673309002591D-01   3.9367697851126809D-01
 23  -1.2629981813563579D-01  -7.5556874906605420D-01
 24  -2.2057185000661349D-02  -5.8388154386222413D-01
 25   6.3371124920135413D-02  -4.1541009855797606D-01
 26   1.3028079070913101D-01  -2.4263347376765473D-01
 27   2.2409330005699377D-01  -7.2739313683606865D-02
 28   3.1727415515177793D-01   1.0092583272981799D-01
 29   4.2363361820624668D-01   2.6314930325261060D-01
 30   4.9915979418645917D-01   4.2081260423617323D-01
 31   5.8157147499473605D-01   5.5162541706599511D-01
 32  -3.2158941321448681D-01  -7.4827084740256533D-01
 33  -2.1432174224068234D-01  -5.8189659687890105D-01
 34  -1.3049767381080193D-01  -4.1070502001434012D-01
 35  -5.9338644610215686D-02  -2.4481397377916717D-01
 36   3.3295205108652609D-02  -6.8726234611801926D-02
 37   1.3001192522643668D-01   1.0332370866254338D-01
 38   2.2884669867583543D-01   2.7881443755340835D-01
 39   3.0753180810212349D-01   4.3870219845584679D-01
 40   3.9542575600124263D-01   6.0148218276499221D-01
 41  -5.1144032283822038D-01  -7.4646828200380078D-01
 42  -4.0844888100820004D-01  -5.7279161919761024D-01
 43  -3.2172102005309033D-01  -4.0710681859174436D-01
 44  -2.5582982884930622D-01  -2.4442765900212046D-01
 45  -1.5371539641100040D-01  -7.5286367340747840D-02
 46  -6.2401877530359015D-02   1.0484240083116092D-01
 47   3.8677561776924572D-02   2.7680932122311885D-01
 48   1.0982586635965032D-01   4.4997258730866729D-01
 49   1.9834639254972711D-01   6.1147561117191318D-01
 50   2.9348269163444979D-01   7.6901227590530352D-01
 51  -5.7167893799277014D-01  -6.0938203126275525D-01
 52  -5.1988730402802286D-01  -4.0424765028428411D-01
 53  -4.5814100864340018D-01  -2.5224111648744757D-01
 54  -3.4563414868995301D-01  -8.5326025417530038D-02
 55  -2.4224262759039678D-01   9.2125106468644039D-02
 56  -1.5273650357488242D-01   2.7987168438279503D-01
 57  -5.8871011574978718D-02   4.5189560322885336D-01
 58   1.4466152262297164D-02   6.3897437156471881D-01
 59   1.0710612236160930D-01   8.0192529287634529D-01
 60  -6.8368491340681659D-01  -4.4186692851539411D-01
 61  -6.6626285215316539D-01  -2.5659229223056573D-01
 62  -5.4003403245845205D-01  -9.9143530697324511D-02
 63  -4.3635744626808298D-01   7.7899493875723189D-02
 64  -3.3230988255767407D-01   2.5528741643643521D-01
 65  -2.5453373450556321D-01   4.4792006116985944D-01
 66  -1.6660535625464001D-01   6.1963342600094051D-01
 67  -9.2080100304642892D-02   8.0900230844501531D-01
 68   4.3441338192229291D-03   9.1779403528860692D-01
 69  -7.3875091828068562D-01  -1.2249139397972242D-01
 70  -6.1768706424032960D-01   5.1464807707107096D-02
 71  -5.2538499366755165D-01   2.4308131601413899D-01
 72  -4.3312859263812159D-01   4.2102839658473346D-01
 73  -3.6273371801891124D-01   6.1481113702365153D-01
 74  -2.7677600655038803D-01   7.8295732215506997D-01
 75  -8.0391513193554587D-01   5.1664936789857417D-02
 76  -6.9962931713338161D-01   2.2835031709791892D-01
 77  -6.1914955956110218D-01   4.2052357967775739D-01
 78  -5.4493580766800009D-01   5.8063255029718086D-01
 79  -8.7999390927452859D-01   2.3668780591693880D-01
 80  -7.9630103979989120D-01   4.0135857122723129D-01
