 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 5
   nballs ......: 70
   itrial ......: 1151
   kappa .......: 0.19
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.3776412907378841D+00
   pol perimeter: 5.8778525229247309D+00

 OPTIMIZATION SUMMARY
   r ......:  1.2111414316889081D-01
   csupn ..:  6.9645857969646841D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1151
   #evalf .:  259
   #evalg .:  302
   #evalc .:  429
   #evalj .:  302
   #evalhl :  313
   outiter :  20
   totiter :  113
   nwcalls :  20
   nwtotit :  200
   opt time:  0.37 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -5.6124693853378782D-01  -7.0006250881165544D-01
  2  -3.9017350911107118D-01  -7.8247990669181389D-01
  3  -6.1951044354141882D-01  -5.0039516778279147D-01
  4  -4.1017087217438092D-01  -5.7185251004015025D-01
  5  -2.2329044404214055D-01  -6.9812654811929897D-01
  6  -8.5506947702855662D-02  -7.2692265078781293D-01
  7   1.2275987680549511D-01  -7.8768111614837799D-01
  8  -6.9061730338190730D-01  -3.0444185996579803D-01
  9  -4.7645957697786712D-01  -3.7038709028460703D-01
 10  -2.7749739892823633D-01  -4.7813683136991020D-01
 11  -9.1483945980268155D-02  -5.4770314881000637D-01
 12   1.1211368586560710D-01  -6.1327218482748613D-01
 13   3.1183389900102843D-01  -7.1007583228193694D-01
 14   4.9287147510919238D-01  -7.6091258774092618D-01
 15  -7.4800351179875313D-01  -1.0417909269838031D-01
 16  -5.3928904525885368D-01  -1.7628959916956391D-01
 17  -3.3983907210908743D-01  -2.6624671317443166D-01
 18  -1.4219046070143898D-01  -3.3440459215890783D-01
 19   5.2494834267750118D-02  -4.0782168417270426D-01
 20   2.5129506972923227D-01  -4.9824899528384986D-01
 21   4.4165225121545415D-01  -5.4344781861429947D-01
 22   6.3138302689493897D-01  -6.1673546890510578D-01
 23  -8.1260609624324398D-01   9.0105024715598447D-02
 24  -5.9826788736945014D-01   2.4390298317407962D-02
 25  -3.9343977686407017D-01  -5.5329312850156062D-02
 26  -1.9536886479804008D-01  -1.2930135059708420D-01
 27   7.9599744484180369D-03  -2.0012173948241485D-01
 28   2.0823585478719586D-01  -2.8929374401915409D-01
 29   4.0191689003128783D-01  -3.4724296410124539D-01
 30   6.0853868780921971D-01  -4.1481565184549324D-01
 31  -8.6279148235705960D-01   2.8154577217197790D-01
 32  -6.5074404623268534D-01   2.1498797173152001D-01
 33  -4.3615315449605380D-01   1.4587148493706756D-01
 34  -2.3302325527652060D-01   7.7129065556827206D-02
 35  -3.8774649871502226D-02   3.1275994354157603D-03
 36   1.5800112608837352D-01  -8.0036417969169313D-02
 37   3.5314353401259091D-01  -1.3673932042147791D-01
 38   5.4858362600055022D-01  -2.1211317344891792D-01
 39   7.5249837944580988D-01  -2.6623221003788761D-01
 40  -7.0837015752016164D-01   4.1047817353199567D-01
 41  -4.9588957672056139D-01   3.3884444752321480D-01
 42  -2.8253928744537843D-01   2.8109704741154057D-01
 43  -7.9764959247987877D-02   2.1448539250341236D-01
 44   1.1583431888301540D-01   1.3038376170726262D-01
 45   3.1025923043213871D-01   6.2364806766601569D-02
 46   5.1540783116965805D-01  -4.3236100661437809D-03
 47   7.0988471561932720D-01  -7.4365576351489784D-02
 48  -5.3822877995966145D-01   5.2872874113503476D-01
 49  -3.2666586523731683D-01   4.6618078696639281D-01
 50  -1.1242404465886416D-01   4.1213590362353020D-01
 51   7.6422211359805370D-02   3.4127910432696285D-01
 52   2.5954593776159518D-01   2.7494850006273375D-01
 53   4.5531122226780796D-01   1.9983476860549967D-01
 54   6.5948546295810040D-01   1.3848299786146256D-01
 55   8.4440873563188135D-01   5.7985402702173651D-02
 56  -3.7367498642237973D-01   6.5801915818506629D-01
 57  -1.6099894662350236D-01   5.8221003624263568D-01
 58   6.0846749108293623D-02   5.4727037291612124D-01
 59   2.3910174916554847D-01   4.8762074367412994D-01
 60   4.1813279579408102D-01   4.0868328613082250D-01
 61   6.1515113246939346D-01   3.0661723330657559D-01
 62   8.3809924934569358D-01   2.6529953618671015D-01
 63  -1.9967481612052734D-01   7.7036958254782306D-01
 64   1.2862105302221441D-02   6.9794835137480904D-01
 65   2.3764703824894334D-01   6.9307586955246669D-01
 66   3.7779186633466194D-01   6.3288394182612806D-01
 67   5.3442593523848636D-01   5.2182088019505479D-01
 68   7.3168134316372979D-01   4.2955763232132715D-01
 69  -3.8097969327636476D-02   8.9126092969096626D-01
 70   1.4672925513013041D-01   8.5993348725314855D-01
