 PROBLEM SUMMARY
   problem .....: stoyan    
   nballs ......: 60
   itrial ......: 542
   kappa .......: 0.65
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 6.9111111111111101D-01
   pol perimeter: 7.0086495082125433D+00

 OPTIMIZATION SUMMARY
   r ......:  7.3779238909645870D-02
   csupn ..:  8.2779346710637469D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  542
   #evalf .:  173
   #evalg .:  327
   #evalc .:  353
   #evalj .:  327
   #evalhl :  335
   outiter :  21
   totiter :  125
   nwcalls :  21
   nwtotit :  210
   opt time:  0.56 seconds

 BALLS (index, center abcissa, center ordinate)
  1   8.9569792113263480D-01  -2.7069024870945813D-01
  2   9.6734361255921419D-01  -2.6717491352371026D-01
  3   3.2792497428694015D-02  -2.6724227215094848D-01
  4   1.0107659472405318D-01  -2.6863950037577400D-01
  5   8.2895632332396174D-01  -1.5884988474543169D-01
  6   9.4792256785256623D-01  -1.4874440905973332D-01
  7   5.5507888437627148D-02  -1.5252920098227349D-01
  8   1.8005841915384335D-01  -1.6139868260385079D-01
  9   7.5300735199315105D-01  -8.1510095301060279D-02
 10   8.7904384320262696D-01  -3.7034374682426215D-02
 11   9.9426698392266266D-01  -2.2922779854069653D-02
 12   4.7815992832303415D-02  -4.7724174163274714D-02
 13   1.5440534650360002D-01  -5.2172695546364861D-02
 14   2.8173871480329776D-01  -7.9726243379534212D-02
 15   6.8116394856663742D-01  -5.5053756524558713D-03
 16   8.0752893638978440D-01   4.3968028079554987D-02
 17   9.3548190188594493D-01   8.6428615742079176D-02
 18   1.3807616101684985D-02   8.0939472885684982D-02
 19   1.1703796594397872D-01   7.3461253014540318D-02
 20   2.3919932233571856D-01   4.0397182532075387D-02
 21   3.5481419190558022D-01   2.3088899067000582D-02
 22   4.8066289415343183D-01   4.4022853276566222D-02
 23   5.8079307918615608D-01   6.1412240730044518D-02
 24   6.9617210930904316D-01   1.0968745419451262D-01
 25   8.2444717394920852D-01   1.5714703883432379D-01
 26   9.6238354458820019D-01   1.8570636713355063D-01
 27   5.6749239666749163D-02   2.0056429598965714D-01
 28   1.7868894654421499D-01   1.6411845818293697D-01
 29   2.9720826748386348D-01   1.4977134406079956D-01
 30   3.9758178737677818D-01   1.4256339526127892D-01
 31   5.1883847939857086D-01   1.6853840103335055D-01
 32   6.2717676198629879D-01   1.9535761635030940D-01
 33   8.6263313685170839D-01   2.5150732652036079D-01
 34   9.7395864521579478D-01   3.1821189991987342D-01
 35   1.6015437856510364D-01   2.8471930447740845D-01
 36   4.5396447218715980D-01   2.6831658082102522D-01
 37   5.7539735340438170D-01   2.9411648896945031D-01
 38   8.6938250157805874D-01   3.8199087631067691D-01
 39   3.6138893594978481D-02   3.1205801662781213D-01
 40   1.7034180156900486D-01   3.7160331829039867D-01
 41   3.7319350689195008D-01   3.4263769503741337D-01
 42   4.6563394304000028D-01   3.8173480423697581D-01
 43   5.8277568504420396D-01   4.1153433122693106D-01
 44   8.2647001111740548D-01   4.9341703271168824D-01
 45   9.6210877384741456D-01   4.5056016522090026D-01
 46   6.5312555573353318D-02   4.1072002441210198D-01
 47   3.8093165558174563D-01   5.1263408693402701D-01
 48   4.9850806983426982D-01   5.0983462052008788D-01
 49   6.4102643650360591D-01   4.8996328124881910D-01
 50   7.3229426780691453D-01   5.7402315824523631D-01
 51   9.3808873993472619D-01   5.5400977998734091D-01
 52   1.8637007739536395D-02   5.1642698019067390D-01
 53   1.3868886087662369D-01   5.0981901816340414D-01
 54   2.6087810782430593D-01   5.0615260216480773D-01
 55   4.2221271203894140D-01   6.2719050932045695D-01
 56   5.4227767892845891D-01   6.2069483788312874D-01
 57   8.3704250797381141D-01   6.2526257246104433D-01
 58   6.2377302051425894D-02   6.2721681886514580D-01
 59   1.8243690119143874D-01   6.2068915614587206D-01
 60   3.0002126475496455D-01   6.2351527931884465D-01
