 PROBLEM SUMMARY
   problem .....: america   
   nballs ......: 80
   itrial ......: 8849
   kappa .......: 0.11
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.7573124999999992D-01
   pol perimeter: 4.0091662046701808D+00

 OPTIMIZATION SUMMARY
   r ......:  3.2766195967504887D-02
   csupn ..:  9.7678549970670048D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  8849
   #evalf .:  1341
   #evalg .:  429
   #evalc .:  1537
   #evalj .:  429
   #evalhl :  435
   outiter :  20
   totiter :  235
   nwcalls :  20
   nwtotit :  200
   opt time:  2.57 seconds

 BALLS (index, center abcissa, center ordinate)
  1   5.9595497568490285D-01   3.2905315388127809D-01
  2   5.9944579935222486D-01   2.8509324421433757D-01
  3   5.9482951495326419D-01   3.7189481989682699D-01
  4   5.8072497994631800D-01   4.2359992709572880D-01
  5   6.3595179304621852D-01   4.0682511840361896D-01
  6   5.8293730338200700D-01   4.8417897655676340D-01
  7   6.2564374054363092D-01   4.5944694904443001D-01
  8   6.7978453489318569D-01   4.4688719925964404D-01
  9   5.4414145800171909D-01   5.7524747004584997D-01
 10   5.8689042837651462D-01   5.4178973745278469D-01
 11   6.3201453754915093D-01   5.1546581250780954D-01
 12   6.7724178694596049D-01   4.8950493026877345D-01
 13   5.5004568286030286D-01   6.2794524501880111D-01
 14   5.9725616135070059D-01   5.9776487459391714D-01
 15   6.3991301422261038D-01   5.7045830008665765D-01
 16   6.8506030596268319D-01   5.4415343370172331D-01
 17   7.3010440500704998D-01   5.0803040019365042D-01
 18   5.6040561232276043D-01   6.7504934930898508D-01
 19   6.0697025819217443D-01   6.4799258454115738D-01
 20   6.5424929797553943D-01   6.2205582092045342D-01
 21   6.9733031972690274D-01   5.8899287315407767D-01
 22   7.4473479915605556D-01   5.5273062718416877D-01
 23   3.9732736242035210D-01   8.1104536998492160D-01
 24   5.0928532943934357D-01   7.2163509407336868D-01
 25   5.6918871557792838D-01   7.1308406074456521D-01
 26   6.1697831218705612D-01   6.9915341478302351D-01
 27   6.6349113224699829D-01   6.7283339220153127D-01
 28   7.1064078949690335D-01   6.4086196698396181D-01
 29   7.5329923026729262D-01   6.0269362047628072D-01
 30   3.5814937511671169D-01   8.4761619085629802D-01
 31   4.1941932965860679D-01   8.5494211280439480D-01
 32   4.3191468654073767D-01   7.6735532406040230D-01
 33   4.8501549885193479D-01   7.6933962656998689D-01
 34   3.3535210292070755D-01   9.0026512452896190D-01
 35   3.9279635020316289D-01   8.8926346190987060D-01
 36   4.5426364522943607D-01   8.8028726082196818D-01
 37   5.1079282376260005D-01   8.7123343245329166D-01
 38   5.4117456118122687D-01   8.1833946632927801D-01
 39   3.0985995802093819D-01   9.4969553699859233D-01
 40   3.6951134946406577D-01   9.4193872612599772D-01
 41   4.2769131263399962D-01   9.2778110041911410D-01
 42   4.8769390354792247D-01   9.2416708142932125D-01
 43   5.4591803621358503D-01   9.0819659722679402D-01
 44   1.6486600665758316D-01   1.1042035197444946D+00
 45   3.4188507623791642D-01   9.8741769533080292D-01
 46   4.0428350609047453D-01   9.8046651014391351D-01
 47   4.6159057120181324D-01   9.6996917500071977D-01
 48   5.2403953122453395D-01   9.6100770108067268D-01
 49   5.7828733435760005D-01   9.5693363143929688D-01
 50   1.6517310310619451D-01   1.1372176861453016D+00
 51   2.2121063332660568D-01   1.1208290279896471D+00
 52   3.0665489971833626D-01   1.0808615972595292D+00
 53   3.3137818564734944D-01   1.0376158828256872D+00
 54   3.8734943781460035D-01   1.0232744690223952D+00
 55   4.4498340185974455D-01   1.0213896338927253D+00
 56   5.0095326950845609D-01   1.0063115618084915D+00
 57   5.6314001216222076D-01   9.9902425851063414D-01
 58   6.2578821125719319D-01   9.8998533152408308D-01
 59   1.6385940488617234D-01   1.1749621321344781D+00
 60   2.1473774292263009D-01   1.1711154865560638D+00
 61   2.6991274651065261D-01   1.1229604776330120D+00
 62   3.2975774573556688D-01   1.1292033148930793D+00
 63   3.6212042433912184D-01   1.0781743643629582D+00
 64   4.1558779890566638D-01   1.0706490874670187D+00
 65   4.7387509652675885D-01   1.0612455012575877D+00
 66   5.1622348878710267D-01   1.0396706113725538D+00
 67   5.9468787029551384D-01   1.0356492141262006D+00
 68   6.5737257927312853D-01   1.0265913455780413D+00
 69   2.5453468374462940D-01   1.1750031374042555D+00
 70   3.0840776870131648D-01   1.1702376677224320D+00
 71   3.6577102174995302D-01   1.1718826150314432D+00
 72   3.8776687999663745D-01   1.1207596090202103D+00
 73   4.4698598835791686D-01   1.1127520739695940D+00
 74   5.0010597692014980D-01   1.1136541706406731D+00
 75   5.8093553546626575D-01   1.0885043402473684D+00
 76   6.2724113285680350D-01   1.0722130696510379D+00
 77   4.2407621853479444D-01   1.1624814437308599D+00
 78   4.8248327248905015D-01   1.1568996302676995D+00
 79   5.4285260009045089D-01   1.1565053155765510D+00
 80   5.4069961616492113D-01   1.1987267350710600D+00
