 PROBLEM SUMMARY
   problem .....: cesaro    
   nballs ......: 90
   itrial ......: 7366
   kappa .......: 0.20
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 7.2201653705684687D-01
   pol perimeter: 7.1111111111111018D+00

 OPTIMIZATION SUMMARY
   r ......:  6.1237727139892895D-02
   csupn ..:  8.6308397095891110D-09
   istop ..:  2
   ierr ...:  0
   itrial .:  7366
   #evalf .:  1992
   #evalg .:  386
   #evalc .:  2173
   #evalj .:  386
   #evalhl :  413
   outiter :  21
   totiter :  203
   nwcalls :  21
   nwtotit :  210
   opt time:  2.81 seconds

 BALLS (index, center abcissa, center ordinate)
  1   8.6192951369452020D-01   2.3827107700319891D-01
  2   6.8147396718049180D-01   5.8760643905748100D-01
  3   3.2100105995812417D-01   2.9599482069546318D-01
  4   7.7129008978770097D-01   7.6747143756199387D-01
  5   6.9031262884423694D-01   3.6489197778610571D-01
  6   5.9340106551096305D-01   6.4526013600157250D-01
  7   2.2543208154951516D-01   7.6305218735523850D-01
  8   3.2037592426533451D-01   7.0664185131152102D-01
  9   4.2317843704580682D-01   3.4342556690406484D-01
 10   6.0469161105815206D-01   5.3922365492051050D-01
 11   6.7826347175036861D-01   6.9910063616486207D-01
 12   6.9715104252658522D-01   2.5386504403367566D-01
 13   3.2728016509113023D-01   6.0110349169456467D-01
 14   3.3210452272167529D-01   3.9497362442351208D-01
 15   4.2288647640702759D-01   4.4436662717217357D-01
 16   5.0803693923019277D-01   5.9388451293271338D-01
 17   5.1628174421571227D-01   4.8927967296799246D-01
 18   5.1856520087451308D-01   3.8704580460143945D-01
 19   7.7912804761255428D-01   1.8958513083891945D-01
 20   1.5170630432127041D-01   7.3660199375753033D-01
 21   2.2600218264201855D-01   2.3637478884498270D-01
 22   4.1965281623172090D-01   5.4429933201182290D-01
 23   6.1090356739591511D-01   3.2955594081700523D-01
 24   8.4610734692423228D-01   7.3761496126506010D-01
 25   1.5163720628708985D-01   2.6187522930393492D-01
 26   4.1573908237203416D-01   6.5173550473850794D-01
 27   6.1216497846029438D-01   4.3407399283702464D-01
 28   2.1872577470307886D-01   1.4371590218779351D-01
 29   2.1877895486654164D-01   8.5606350174257217D-01
 30   7.7053296317064313D-01   1.0548563106497467D-01
 31   6.5866922851522236D-01   6.8221387983056894D-02
 32   8.7133609614238794D-01   8.3632636354602707D-01
 33   3.2066646349437938D-01   8.0838321231929089D-01
 34   6.7485402821053475D-01   1.5318180411457058D-01
 35   3.1870937727144538D-01   1.9321266535349321D-01
 36   7.7994720191157973D-01   8.5730819183246776D-01
 37   2.3201561831629519D-01   6.5729092899998254D-01
 38   6.9984849820996897D-01   4.7826294540569575D-01
 39   8.7958855304176942D-01   1.3463697916024100D-01
 40   3.1802851408232419D-01   3.1975693973100835D-02
 41   1.2850467524056031D-01   1.6447199196965900D-01
 42   6.8196086695604508D-01   8.0274444418098478D-01
 43   6.7929304792514111D-01   9.6652549902783191D-01
 44   3.2481473181516679D-01   4.9735094418611325D-01
 45   2.3055857341135927D-01   3.4049240987648022D-01
 46   1.2847311584832483D-01   8.3555467364971781D-01
 47   7.6377482232782834D-01   6.6178927145170130D-01
 48   7.8017224108262984D-01   3.0416721155450571D-01
 49   3.1790327690610526D-01   9.6809509084280210D-01
 50   5.1416244531224520D-01   2.8464279820448329D-01
 51   5.0336533494014768D-01   7.0168818357834994D-01
 52   5.8823336304384632D-01   7.5575717534150055D-01
 53   1.3412662635347791D-01   9.3792252028824452D-01
 54   1.3396655893440851D-01   6.2011392777967550D-02
 55   8.6531663380283053D-01   9.3810904476442847D-01
 56   4.1219421531528644D-01   2.4450924567335569D-01
 57   5.9649625343535240D-01   2.3242207989315308D-01
 58   8.3800574131566774D-01   4.1572892693748038D-02
 59   4.1317350261933278D-01   7.5489688507507668D-01
 60   9.5993929022118063D-01   3.1115230347804823D-01
 61   2.3440651557376324D-01   5.6592892404335182D-01
 62   9.5086592336078302D-01   2.2828255037744064D-01
 63   5.0257311288957496D-02   2.3813704225474652D-01
 64   7.7853736635160642D-01   4.1288878371025539D-01
 65   3.8145506159342250D-02   9.7817599778499714D-02
 66   9.5445939984446426D-01   6.8397676971372401D-01
 67   3.8148598058580695D-02   9.0222548979144901D-01
 68   4.3516027175776524D-02   3.1465076066594205D-01
 69   4.3050333572906260D-02   6.8481354534480343D-01
 70   9.6206952818146629D-01   9.0207549736342141D-01
 71   2.3493151663875481D-01   4.3254435371622779D-01
 72   9.5016525118367545D-01   7.6050590856450140D-01
 73   9.5001288123495531D-01   8.5462800610751372D-02
 74   9.4405740955853412D-01   9.7508823363185892D-01
 75   5.0320789234715904D-02   7.6173077525825983D-01
 76   7.6193346234525028D-01   5.7810334536044405D-01
 77   9.4408876993385016D-01   2.4987679113282445D-02
 78   1.2024041187311998D-01   3.4461499941463858D-01
 79   7.6235974288063812D-01   9.4765823814160133D-01
 80   8.7668596102284491D-01   6.5429299519068707D-01
 81   5.5940256883394684D-02   9.7508206196099889D-01
 82   5.5928655476705100D-02   2.4943047846682918D-02
 83   2.3719157069142138D-01   5.4144051307193374D-02
 84   2.3720270799692897D-01   9.4576114551614177D-01
 85   7.2336088027324796D-01   1.4716688341593386D-02
 86   3.2903470595394207D-01   8.9082840777943362D-01
 87   1.2083409782187811D-01   6.5469331888245674D-01
 88   8.8712426281267709D-01   3.3584869393701333D-01
 89   3.2905307241155701D-01   1.0925540263436490D-01
 90   6.7053589186103280D-01   8.8898323623535791D-01
