 PROBLEM SUMMARY
   problem .....: cesaro    
   nballs ......: 100
   itrial ......: 2795
   kappa .......: 0.55
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 7.2201653705684687D-01
   pol perimeter: 7.1111111111111018D+00

 OPTIMIZATION SUMMARY
   r ......:  5.8062569126892040D-02
   csupn ..:  6.9211052444728693D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  2795
   #evalf .:  1477
   #evalg .:  436
   #evalc .:  1674
   #evalj .:  436
   #evalhl :  437
   outiter :  21
   totiter :  227
   nwcalls :  21
   nwtotit :  210
   opt time:  2.39 seconds

 BALLS (index, center abcissa, center ordinate)
  1   8.6571763413546621D-01   2.7149666134619277D-01
  2   3.5557496058160276D-01   4.3156965298938110D-01
  3   7.7245206750996298D-01   9.0127015743809480D-01
  4   8.2902083049077580D-01   7.6173108441489423D-01
  5   2.5280281971614410D-01   8.4902499320458447D-01
  6   7.0084751961216807D-01   6.3032706324841636D-01
  7   1.7248752293396280D-01   2.3976626052770272D-01
  8   6.0324538484894985D-01   5.9285734137297774D-01
  9   7.3334881231219018D-01   7.2834877687942146D-01
 10   6.5920533631055955D-01   5.3146503467713235D-01
 11   7.7954596708712043D-01   3.1809135009021539D-01
 12   2.9053052020784564D-01   6.7519374360133766D-01
 13   2.2707539848524011D-01   1.0115187552064345D-01
 14   4.2274249618192655D-01   3.7064836998710821D-01
 15   1.2911601778244422D-01   7.3405479701905618D-01
 16   2.5252023763223697D-01   9.5046889726837225D-01
 17   4.7632761257887936D-02   3.2823157809978426D-01
 18   4.1254972135832950D-02   4.0856939631783627D-02
 19   3.7678562584781383D-01   6.8723957620060472D-01
 20   3.4217357230292311D-01   5.9147574434755057D-01
 21   2.0345445374738724D-01   3.3434138907315858D-01
 22   1.3968111613109876D-01   1.3995259233592580D-01
 23   4.0370689698392609D-01   5.2485774215516567D-01
 24   2.7262515708103463D-01   2.6695798991292263D-01
 25   5.0468417223133244D-01   5.6026330939890223D-01
 26   4.5966232167311782D-01   4.6323961349844539D-01
 27   5.6013313431329226D-01   4.9382020689622591D-01
 28   5.2425430766971426D-01   3.9719148895160589D-01
 29   8.6015988281673361D-01   8.6016967130977817D-01
 30   8.0001967399978402D-01   6.6456173844694411D-01
 31   6.8061166859137967D-01   2.8169608889118763D-01
 32   9.5895073049289314D-01   9.5893639109018158D-01
 33   9.5212522450024961D-01   6.7165304709267859D-01
 34   7.5192980583291991D-01   5.1995408793930116D-02
 35   2.2807407333397192D-01   7.6068152359399999D-01
