 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 12
   nballs ......: 70
   itrial ......: 1
   kappa .......: 0.87
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 3.0000000000000000D+00
   pol perimeter: 6.2116570824604969D+00

 OPTIMIZATION SUMMARY
   r ......:  1.3580247823925282D-01
   csupn ..:  6.7895524757943804D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1
   #evalf .:  152
   #evalg .:  317
   #evalc .:  335
   #evalj .:  317
   #evalhl :  323
   outiter :  21
   totiter :  113
   nwcalls :  21
   nwtotit :  210
   opt time:  0.37 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.5391187638513875D-01  -1.1209313482971901D-01
  2   8.9078651392845576D-01   1.0384918856137543D-01
  3   8.2996152118892652D-01   3.1337993356882854D-01
  4   7.5458456214291958D-01   4.8435245043981323D-01
  5   6.3476560072887289D-01   6.9761280259353065D-01
  6   8.1369782802938651D-01  -4.8395900129408392D-01
  7   8.0285341927086784D-01  -2.8183161672217938D-01
  8   7.1926757798719776D-01  -6.4559776650486095D-02
  9   6.5264151675162430D-01   1.4698834556622045D-01
 10   5.8818332126477735D-01   3.5153545486702259D-01
 11   5.0741746024197465D-01   5.6158075559147258D-01
 12   4.2208047720899344D-01   7.9388993266349772D-01
 13   6.2585266300652387D-01  -6.3857882424697576D-01
 14   5.8570053170199188D-01  -4.1831598887196997D-01
 15   5.6339910591183950D-01  -2.2871693474488705D-01
 16   4.7883209506631813D-01  -1.2746227003820049D-02
 17   4.1567539199416892D-01   2.0318548929000238D-01
 18   3.4221393605433692D-01   4.1134039943310952D-01
 19   2.7760847408061518D-01   6.4051206586094067D-01
 20   2.1738145300757830D-01   8.6637024762856107D-01
 21   4.6956700239759891D-01  -8.2254914431287252D-01
 22   4.0455541015402385D-01  -5.9392121399513997D-01
 23   3.6280313845351653D-01  -3.7527400617595180D-01
 24   3.2262322060067972D-01  -1.7544931280622209D-01
 25   2.4855290403364994D-01   5.2735594878696154D-02
 26   1.6980605742840035D-01   2.6232318907958069D-01
 27   1.1249829157927008D-01   4.8959822806587977D-01
 28   4.6141382385933100D-02   7.1702019771014636D-01
 29  -9.0282974338677935D-03   9.4776258200301688D-01
 30   2.6474745510418118D-01  -8.0706487942799876D-01
 31   2.0924302141632564D-01  -5.6982106828030377D-01
 32   1.5776286979712500D-01  -3.3193603815614314D-01
 33   9.1418835521099098D-02  -1.0532374114720394D-01
 34   8.7514643785071827D-03   1.1308343908577810D-01
 35  -4.4615963242950127D-02   3.5640464853440584D-01
 36  -1.1225274738411650D-01   5.9315305036977395D-01
 37  -1.7799748260179249D-01   8.2984859505145658D-01
 38   9.5381445474196094D-02  -9.5607179823620891D-01
 39   4.4108345001965692D-02  -7.2129908019800870D-01
 40  -8.9503545809761411D-03  -4.8834778559955266D-01
 41  -7.3352662586931711D-02  -2.6220982791895292D-01
 42  -1.4831597731986812D-01  -4.5411126423281996D-02
 43  -1.9912801834791533D-01   1.7869985832341823D-01
 44  -2.6044968521756423D-01   4.1061593299847082D-01
 45  -3.2590107505164251D-01   6.4278610831611138D-01
 46  -3.9716658282028788D-01   8.7165188393647652D-01
 47  -1.2349699728743108D-01  -8.8645458849198822D-01
 48  -1.7681311778682240D-01  -6.5342311967572675D-01
 49  -2.3794276674828274D-01  -4.2814079061269605D-01
 50  -3.1097320791712563D-01  -2.1181430207872345D-01
 51  -3.7574513195888409D-01   1.6405714149350149D-02
 52  -4.2278107359813005D-01   2.4413895491243209D-01
 53  -4.8466958448507175D-01   4.7553018664575547D-01
 54  -5.5392453115479756D-01   7.0400827270322597D-01
 55  -3.3952693315035359D-01  -8.2953758981321002D-01
 56  -4.0259976290408139D-01  -6.0371839395108540D-01
 57  -4.7236785550058874D-01  -3.8826788967100934D-01
 58  -5.0856064202605400D-01  -1.3982463629494576D-01
 59  -6.0225072407520996D-01   9.5643341062388282D-02
 60  -6.4877476316374960D-01   3.1679789147421794D-01
 61  -7.1354837675630578D-01   5.4541684965382931D-01
 62  -5.6467900563152262D-01  -7.7972979275068932D-01
 63  -6.3713209017088246D-01  -5.6357346490376814D-01
 64  -6.5472194945296724D-01  -3.0815586256699667D-01
 65  -7.2023751761202326D-01  -6.3400985129027795D-02
 66  -8.3287722187636515D-01   1.6656993476271292D-01
 67  -8.7770105449793701D-01   3.8697268679880381D-01
 68  -8.2269518093100291D-01  -4.7275282998521723D-01
 69  -8.6627981129841891D-01  -2.3220855756066719D-01
 70  -9.4874080777197933D-01  -2.1069746970127567D-03
