 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 5
   nballs ......: 60
   itrial ......: 8
   kappa .......: 0.68
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.3776412907378841D+00
   pol perimeter: 5.8778525229247309D+00

 OPTIMIZATION SUMMARY
   r ......:  1.3153499487968667D-01
   csupn ..:  7.3009047696359630D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  8
   #evalf .:  138
   #evalg .:  314
   #evalc .:  324
   #evalj .:  314
   #evalhl :  317
   outiter :  21
   totiter :  107
   nwcalls :  21
   nwtotit :  210
   opt time:  0.30 seconds

 BALLS (index, center abcissa, center ordinate)
  1   6.9648637824766746D-01  -3.6917232457138621D-01
  2   7.2480204385007341D-01  -1.3337241000096572D-01
  3   8.0030201173899962D-01   7.0426359687952425D-02
  4   8.4329433326501546D-01   2.7323565621574558D-01
  5   5.3973705743171474D-01  -7.0376835781398428D-01
  6   5.5961667599399689D-01  -5.2884730706819572D-01
  7   5.2970807001440789D-01  -2.8618495012067502D-01
  8   5.8122174193054366D-01  -4.4841383078003318D-02
  9   6.2111704250146105D-01   1.7429504238413057D-01
 10   6.9021241627692209D-01   3.9931963931508141D-01
 11   3.3067938352788789D-01  -7.8995171997924107D-01
 12   3.2241367440014823D-01  -5.8621072940430285D-01
 13   3.6631076653062666D-01  -3.9439435873882955D-01
 14   3.7935657231967440D-01  -1.5692525634967705D-01
 15   4.0077328848207422D-01   7.6328428150079022D-02
 16   4.6802945781882815D-01   3.0029839923053109D-01
 17   5.2158510604312958D-01   5.2174035693435739D-01
 18   1.1495717842600092D-01  -7.0910895446686417D-01
 19   1.3790073522380095D-01  -4.8244604202469538D-01
 20   1.8515122151874477D-01  -2.7163905530803162D-01
 21   1.9889555593549907D-01  -3.4466715248253052D-02
 22   2.4515086570472777D-01   2.0599103069684246D-01
 23   2.9949733296061642D-01   4.1997652194597723D-01
 24   3.5316394213646890D-01   6.4143937476087209D-01
 25  -7.5437699687811888D-02  -7.2953918773951543D-01
 26  -6.4513792759228056D-02  -5.4972754635236587D-01
 27  -3.7214160632819619D-02  -3.2121157441508191D-01
 28   7.3748703739739503D-03  -1.2047987979384163D-01
 29   4.4500678775403750D-02   1.1287182999543009D-01
 30   7.2177475460549909D-02   3.4440022753296307D-01
 31   1.3098114391592519D-01   5.4178458654464701D-01
 32   1.8747667023974202D-01   7.6024428503140151D-01
 33  -3.0809145554397815D-01  -7.7807692232598580D-01
 34  -2.9351274612665101D-01  -6.0289076792624974D-01
 35  -2.4198757405749452D-01  -3.9698124849613886D-01
 36  -2.2287154959816621D-01  -1.7213123082978329D-01
 37  -1.5903166291285442D-01   3.6192131322527604D-02
 38  -1.3163603339248686D-01   2.5893454580785658D-01
 39  -1.0635454930992012D-01   4.8952614179903103D-01
 40  -3.7689615590259476D-02   6.6309515229361404D-01
 41   2.3220907612448251D-02   8.8276843247180858D-01
 42  -5.1185228926294080D-01  -7.0159816915165929D-01
 43  -4.5094462603933849D-01  -4.7378226622926961D-01
 44  -4.2845117860005488D-01  -2.5144443672573402D-01
 45  -3.9008246476344510D-01  -1.8975874338791235D-02
 46  -3.4214158366014458D-01   1.8319992346986155D-01
 47  -2.9907418170690953D-01   4.1189146438652158D-01
 48  -2.8472219044830471D-01   6.4643969557391090D-01
 49  -1.8806581956584464D-01   8.2847098513655226D-01
 50  -6.5908205248471574D-01  -5.2977080255909959D-01
 51  -6.3242385551324576D-01  -3.1080329447709154D-01
 52  -5.9065659699135442D-01  -8.0857171056438693D-02
 53  -5.6829222396583590D-01   1.4554204055085948D-01
 54  -5.0611859411712445D-01   3.4915759848993844D-01
 55  -4.3778930835516278D-01   5.8299534880646187D-01
 56  -7.8624514026320746D-01  -1.4998146906482882D-01
 57  -7.6996014216864361D-01   8.0538705938651603D-02
 58  -7.3586395978316377D-01   3.1162599890620907D-01
 59  -6.5109651679349467D-01   4.8339791296833617D-01
 60  -8.6801873864755175D-01   2.5781847705192834D-01
