 PROBLEM SUMMARY
   problem .....: america   
   nballs ......: 50
   itrial ......: 1361
   kappa .......: 0.11
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.7573124999999992D-01
   pol perimeter: 4.0091662046701808D+00

 OPTIMIZATION SUMMARY
   r ......:  4.2952082475291968D-02
   csupn ..:  4.5796942904630100D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1361
   #evalf .:  1048
   #evalg .:  586
   #evalc .:  1264
   #evalj .:  586
   #evalhl :  548
   outiter :  19
   totiter :  358
   nwcalls :  19
   nwtotit :  190
   opt time:  1.67 seconds

 BALLS (index, center abcissa, center ordinate)
  1   6.0350465272346399D-01   3.0218651569941324D-01
  2   5.8624847130680846D-01   3.7246517970596538D-01
  3   6.5119168229489566D-01   4.1655419820943301D-01
  4   5.9267032814192355D-01   4.4870760266931842D-01
  5   6.6994403839696792D-01   4.7649676947458119D-01
  6   5.9167523475595307D-01   5.2227162611552413D-01
  7   6.3901318175544397D-01   5.1571801085503799D-01
  8   7.2121660723501790D-01   5.2763983763298117D-01
  9   5.6630956865769455D-01   5.8554098581859315D-01
 10   6.2588280903888449D-01   5.9692940545941664D-01
 11   6.7725331597069838D-01   5.7545270373028201D-01
 12   7.6353344151334090D-01   5.7868408878118827D-01
 13   5.4344240775367114D-01   6.4541041637034013D-01
 14   5.9572484523853508D-01   6.6373038889860836D-01
 15   6.6952456198705435D-01   6.5898713152627086D-01
 16   7.2149356746836346D-01   6.1349609481836709D-01
 17   4.2213536826688897D-01   8.0783134270800472D-01
 18   4.6829321777169897D-01   7.6635999502741026D-01
 19   5.3214823731332517D-01   7.1929066233445060D-01
 20   6.1143212101209510D-01   7.0500010927372436D-01
 21   3.7599417861877266D-01   8.5247246056779491D-01
 22   4.4370183769886917D-01   8.8574254357183435D-01
 23   5.4202853788748473D-01   8.3221017082808879D-01
 24   3.3301026771226416D-01   9.0573422445369856D-01
 25   3.9949531571845104D-01   9.3047917402359626D-01
 26   4.9814296901122290D-01   8.9798769836840697D-01
 27   5.5342627735751582D-01   9.1275640125434188D-01
 28   3.2527802591584509D-01   9.6886404914099677D-01
 29   3.8556423867982592D-01   9.8857313362306520D-01
 30   4.6246860068686418D-01   9.6666035249455962D-01
 31   5.6632600540032296D-01   1.0165327427973296D+00
 32   5.3224621440258713D-01   9.6527480603664817D-01
 33   1.7247031602288013D-01   1.1116137488281805D+00
 34   2.4625030307647361D-01   1.1281665331107600D+00
 35   3.3711392293542397D-01   1.0479769348979422D+00
 36   4.1911403073990072D-01   1.0346686360464856D+00
 37   4.8918726074861019D-01   1.0321904625978480D+00
 38   6.1285420183710415D-01   9.6659970975612419D-01
 39   6.4706388501633638D-01   1.0286151029358022D+00
 40   1.6655336530258560D-01   1.1643144095436297D+00
 41   2.3362786434112334D-01   1.1717113470601723D+00
 42   3.1872866877658174D-01   1.0950635824330761D+00
 43   3.9329994298946791D-01   1.0929389529350826D+00
 44   4.6737503958972626D-01   1.0993719135292996D+00
 45   5.2428731187520661D-01   1.1508760564182359D+00
 46   6.0159300325898424D-01   1.0786391806835647D+00
 47   3.0467161112482855D-01   1.1662707608995415D+00
 48   3.7214273043239882D-01   1.1553464657816388D+00
 49   4.4398767531238259D-01   1.1576474332121445D+00
 50   5.5847358885619147D-01   1.1878280279492941D+00
