 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 3
   nballs ......: 29
   itrial ......: 128
   kappa .......: 0.64
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 4.3301270189221930D-01
   pol perimeter: 3.0000000000000000D+00

 OPTIMIZATION SUMMARY
   r ......:  8.1796059402151206D-02
   csupn ..:  9.5189953697172314D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  128
   #evalf .:  125
   #evalg .:  277
   #evalc .:  284
   #evalj .:  277
   #evalhl :  290
   outiter :  19
   totiter :  100
   nwcalls :  19
   nwtotit :  190
   opt time:  0.11 seconds

 BALLS (index, center abcissa, center ordinate)
  1   6.9979478666709338D-02   4.2402558457592575D-02
  2   2.1109460676366398D-01   4.0356310700078737D-02
  3   3.5368106311682707D-01   3.9883971373087558D-02
  4   4.9688239641254717D-01   3.9252315734796428D-02
  5   6.4073365174052266D-01   3.8697164283878586D-02
  6   7.8465473135125963D-01   3.9124163029137266D-02
  7   9.2824273148093350D-01   3.9309903661369446D-02
  8   1.4286944015432790D-01   1.6452846315419872D-01
  9   2.8426114590054363D-01   1.6199841954058256D-01
 10   4.2721568625215972D-01   1.6089283028170445D-01
 11   5.7073884638745820D-01   1.5970425422565929D-01
 12   7.1438157724367124D-01   1.5957519073356802D-01
 13   8.5822311899621095D-01   1.6018858699851529D-01
 14   2.1366783006946555D-01   2.8618001666657722D-01
 15   3.5542666659404787D-01   2.8300400459642433D-01
 16   4.9903240697121709D-01   2.8072957025215833D-01
 17   6.4338436211264605D-01   2.7927346736386699D-01
 18   7.8792326197468310D-01   2.8010439227149281D-01
 19   2.8426116776274546D-01   4.0717068143212204D-01
 20   4.2677541618983383D-01   4.0259676870705541D-01
 21   5.7166140860337622D-01   3.9829964441860172D-01
 22   7.1759774990913161D-01   3.9779529559392363D-01
 23   3.5485739775393815D-01   5.2674092860505950D-01
 24   4.9905018504403553D-01   5.1877200360691023D-01
 25   6.4730973347437470D-01   5.0992525707505498D-01
 26   4.2553373069445466D-01   6.4285594628467613D-01
 27   5.7721824705916980D-01   5.9651096138683735D-01
 28   4.5973918830394961D-01   7.9480305455005473D-01
 29   5.4320488453025872D-01   7.1231004467969306D-01
