 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 4
   nballs ......: 17
   itrial ......: 4
   kappa .......: 0.79
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.0000000000000000D+00
   pol perimeter: 4.0000000000000000D+00

 OPTIMIZATION SUMMARY
   r ......:  1.6567362523154619D-01
   csupn ..:  3.8923183565131581D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  4
   #evalf .:  161
   #evalg .:  327
   #evalc .:  345
   #evalj .:  327
   #evalhl :  342
   outiter :  22
   totiter :  122
   nwcalls :  22
   nwtotit :  220
   opt time:  0.07 seconds

 BALLS (index, center abcissa, center ordinate)
  1   1.2971439875687663D-01   1.0307864310284676D-01
  2   3.9470027790231704D-01   9.5686185298519591D-02
  3   9.8425536065172112D-02   3.3944872948879173D-01
  4   3.3750921677647067D-01   3.4770502328133757D-01
  5   5.9865593386372917D-01   3.4552198004483409D-01
  6   6.6137661770471468D-01   1.0090146956621079D-01
  7   2.4906140278710225D-02   6.3650843753810493D-01
  8   2.3890113125129459D-01   6.2194709303759510D-01
  9   4.9380969588953144D-01   6.1238268650999916D-01
 10   8.6372144754978453D-01   3.5281261639397038D-01
 11   8.9640006471152733D-01   1.2928574468588497D-01
 12   1.3221163866852528D-01   9.0014236925422086D-01
 13   3.8545155179093860D-01   8.8686817633311754D-01
 14   7.3732755999916444D-01   6.1393180456074881D-01
 15   9.8405771985941970D-01   6.1194965957821035D-01
 16   6.3076767657435684D-01   8.9041368386846975D-01
 17   8.7751438844391139D-01   8.8842485055378062D-01
