 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 10
   nballs ......: 10
   itrial ......: 918
   kappa .......: 0.89
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.9389262614623659D+00
   pol perimeter: 6.1803398874989490D+00

 OPTIMIZATION SUMMARY
   r ......:  3.8158869903257292D-01
   csupn ..:  4.3973376051553714D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  918
   #evalf .:  188
   #evalg .:  361
   #evalc .:  397
   #evalj .:  361
   #evalhl :  359
   outiter :  23
   totiter :  129
   nwcalls :  23
   nwtotit :  230
   opt time:  0.04 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -1.6853993433305903D-01  -6.7150781461863418D-01
  2   3.1878494919296679D-01  -6.4474311526851302D-01
  3  -6.7693943809840795D-01   1.2424031925556680D-02
  4  -5.4035284673917372D-01  -4.0794627134876515D-01
  5   6.9080230258815067D-01  -2.8569053375698833D-01
  6  -5.3105406134316668D-01   4.4419594603017376D-01
  7   5.0127223867705961D-02   1.6287322372320653D-02
  8   7.2606492911279441D-01   2.3591279609458632D-01
  9  -1.2106805317835792D-01   7.0898522913381179D-01
 10   3.9094612002629608D-01   6.3717190279535441D-01
