 PROBLEM SUMMARY
   problem .....: america   
   nballs ......: 70
   itrial ......: 3847
   kappa .......: 0.11
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.7573124999999992D-01
   pol perimeter: 4.0091662046701808D+00

 OPTIMIZATION SUMMARY
   r ......:  3.5062837146323217D-02
   csupn ..:  3.8582746997306572D-09
   istop ..:  2
   ierr ...:  0
   itrial .:  3847
   #evalf .:  626
   #evalg .:  377
   #evalc .:  825
   #evalj .:  377
   #evalhl :  393
   outiter :  22
   totiter :  173
   nwcalls :  22
   nwtotit :  220
   opt time:  1.51 seconds

 BALLS (index, center abcissa, center ordinate)
  1   7.4770479252246491D-01   5.4936155265494147D-01
  2   7.5024400842342598D-01   6.0531040939451974D-01
  3   7.0054508251825498D-01   6.4107910737371931D-01
  4   6.2665847868000835D-01   9.9547690319980753D-01
  5   6.5918786391703432D-01   1.0465328070412190D+00
  6   6.0761575758922592D-01   1.0897917911608257D+00
  7   7.2069929290614465D-01   5.1721161027473772D-01
  8   6.9437594817125015D-01   5.8124748039286789D-01
  9   6.4853463166754044D-01   6.1524236928758691D-01
 10   6.5563872530205347D-01   6.7932563534628942D-01
 11   5.7937510856562835D-01   9.5430378004062666D-01
 12   5.6265386944536755D-01   1.0042615380488893D+00
 13   5.9797043057918386D-01   1.0480931568979357D+00
 14   5.4002770051422788D-01   1.1497207711172204D+00
 15   5.4545650253091293D-01   1.1953242446034222D+00
 16   6.8529547117222800D-01   4.5863789096025442D-01
 17   6.7813998161448108D-01   5.2178321170436059D-01
 18   6.3506406640370117D-01   5.5654815810722469D-01
 19   6.0331807247705249D-01   6.4843508621214241D-01
 20   6.0445745895693004D-01   7.1010757433802774D-01
 21   5.4015025397085004D-01   9.0899012651362021D-01
 22   5.1644208236126210D-01   9.6193712683322419D-01
 23   5.0679421798712554D-01   1.0215338624661550D+00
 24   4.9331043082913362D-01   1.0778144122482258D+00
 25   4.9054541553776704D-01   1.1391785883335122D+00
 26   6.3215081795180983D-01   3.8008807649337789D-01
 27   6.4654007756935983D-01   4.3092163008950474D-01
 28   6.3239337368834525D-01   4.9427847585819329D-01
 29   5.9188601592526013D-01   5.8724131887713749D-01
 30   5.4967592213177618D-01   6.3503495548479938D-01
 31   5.5741067623425999D-01   6.9486940446348144D-01
 32   5.3571673973086187D-01   7.8899708217220488D-01
 33   5.0971252135047229D-01   8.5848410783021822D-01
 34   4.8198755836855461D-01   9.1588067696423014D-01
 35   4.6101870995807254D-01   9.7780290014714200D-01
 36   4.4860598732830292D-01   1.0348515886876533D+00
 37   4.4164429036553982D-01   1.0979364541553622D+00
 38   4.4193973850178025D-01   1.1609441766348916D+00
 39   6.0256432627734680D-01   2.9196359747223699D-01
 40   5.8421051555828019D-01   3.4502696736101302D-01
 41   5.8999545061023995D-01   4.0591302804906859D-01
 42   5.9155740466694062D-01   4.6237064607449890D-01
 43   5.8276861589169882D-01   5.2271288520229253D-01
 44   5.4664754121674364D-01   5.7808622719231351D-01
 45   4.9885779042141754D-01   7.3182681504347613D-01
 46   4.6573222415698107D-01   7.8085519200950959D-01
 47   4.4810963655680686D-01   8.7720803955511961D-01
 48   4.2584519501256762D-01   9.3986041677647980D-01
 49   4.0114332948610287D-01   9.9925890856518240D-01
 50   3.9822989435930195D-01   1.0513327681938307D+00
 51   3.9633653826477344D-01   1.1169454207604075D+00
 52   3.7917718879012768D-01   1.1681030405202175D+00
 53   4.0790857521261531D-01   7.8764804906317498D-01
 54   4.0579786216992597D-01   8.3521558748219693D-01
 55   3.9270161649120422D-01   8.9688744316279978D-01
 56   3.6676789889973066D-01   9.5627473197243051D-01
 57   3.4237799169854088D-01   1.0159862312855832D+00
 58   3.6270548016730925D-01   1.0683119482139383D+00
 59   3.3584346341293964D-01   1.1189053491576408D+00
 60   3.1835026499799168D-01   1.1695209439235368D+00
 61   3.5647776023315580D-01   8.4979646281164911D-01
 62   3.3492680386384116D-01   9.0902142543128694D-01
 63   3.1555649971384903D-01   9.5817767782250740D-01
 64   3.0890376099754374D-01   1.0619846964968518D+00
 65   2.8113422639503455D-01   1.1185846020787822D+00
 66   2.5919410300512957D-01   1.1734409719781294D+00
 67   2.2315549973078685D-01   1.1204689231198781D+00
 68   2.0517155310230248D-01   1.1799067422074037D+00
 69   1.6259382342454801D-01   1.1076270503423782D+00
 70   1.6426433320965170D-01   1.1513019083607869D+00
