 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 4
   nballs ......: 50
   itrial ......: 845
   kappa .......: 0.46
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.0000000000000000D+00
   pol perimeter: 5.6568542494923797D+00

 OPTIMIZATION SUMMARY
   r ......:  1.3350622446273461D-01
   csupn ..:  7.7734298997711448D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  845
   #evalf .:  139
   #evalg .:  310
   #evalc .:  324
   #evalj .:  310
   #evalhl :  314
   outiter :  21
   totiter :  104
   nwcalls :  21
   nwtotit :  210
   opt time:  0.22 seconds

 BALLS (index, center abcissa, center ordinate)
  1   8.6834742686643096D-01   2.2170073466118011D-02
  2   7.5721263125541427D-01  -1.1707813541960575D-01
  3   7.1562561959171123D-01   1.2582001997830175D-01
  4   6.4307573129987372D-01   3.4418243045207092D-01
  5   6.1751817988798463D-01  -2.6972490928916326D-01
  6   5.5574375209375693D-01  -3.4714939971099673D-02
  7   4.9465846544937658D-01   1.9314333255924229D-01
  8   4.2303513110100782D-01   4.2621666625727078D-01
  9   3.3869187984985127D-01   6.4355269369668111D-01
 10   4.6699180292973674D-01  -4.2670352512697873D-01
 11   4.0511203736263057D-01  -2.0431148307149644D-01
 12   3.3966514380740626D-01   2.7588472202344286D-02
 13   2.7787778292948717D-01   2.5906987346694049D-01
 14   1.9990157649721971D-01   4.8622113273164647D-01
 15   1.2224860402433543D-01   7.2237555431107003D-01
 16   1.3453160078633099D-02   8.6717332800952052D-01
 17   3.1183427543194275D-01  -5.8706815799342771D-01
 18   2.4461658678285816D-01  -3.7535284065358204D-01
 19   1.9025191089017127D-01  -1.4583512590618319D-01
 20   1.2503652153842790D-01   8.6269414263677610D-02
 21   6.3696021554749988D-02   3.1814223545687892D-01
 22  -1.4126310143983306D-02   5.5429884177262478D-01
 23  -1.2609770159140837D-01   7.4727094035830754D-01
 24   1.5093011354554262D-01  -7.3917763651172108D-01
 25   8.2899323779743211D-02  -5.5131710525150301D-01
 26   3.1840414181451712D-02  -3.2269412068083059D-01
 27  -2.1484420831923950D-02  -9.5102533075635820D-02
 28  -8.2533029125713531D-02   1.4050343718777550D-01
 29  -1.4685545692326096D-01   3.7522490966696254D-01
 30  -2.2424639507750319D-01   6.1174914617986531D-01
 31  -4.3352720935945794D-03  -8.6656418203965990D-01
 32  -8.2941727453928929D-02  -7.4048865614432102D-01
 33  -1.2173312611891431D-01  -5.1604870534011116D-01
 34  -1.6741715538240540D-01  -2.9964123736629567D-01
 35  -2.1490844520422081D-01  -6.7099976883558274D-02
 36  -2.6334188023832145D-01   1.5021132484591235D-01
 37  -3.1772582617125533D-01   3.7646937110406542D-01
 38  -4.2998331005120427D-01   5.3788530634960374D-01
 39  -2.9271940350508813D-01  -6.9496917138891978D-01
 40  -3.3534850388843168D-01  -4.8653487335505047D-01
 41  -3.6867481361348842D-01  -2.5884675643073157D-01
 42  -4.2015617277493084D-01  -5.1444031488409245D-02
 43  -4.6328457978198989D-01   1.7107369668454950D-01
 44  -5.5710660541616919D-01   3.2864108121345942D-01
 45  -5.3939616352152731D-01  -4.4022862895157533D-01
 46  -5.9189225380013977D-01  -2.3340326445687073D-01
 47  -6.1857581285935914D-01  -2.5302798551378272D-03
 48  -7.1281267341836363D-01   1.7916820904320355D-01
 49  -7.7296499130462071D-01  -1.6464925363538532D-01
 50  -8.6875799423276723D-01   2.4502022453397124D-02
