 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 9
   nballs ......: 20
   itrial ......: 1515
   kappa .......: 0.75
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.8925442435894264D+00
   pol perimeter: 6.1563625798620381D+00

 OPTIMIZATION SUMMARY
   r ......:  2.5917466356904295D-01
   csupn ..:  3.9274561380864270D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1515
   #evalf .:  216
   #evalg .:  370
   #evalc .:  421
   #evalj .:  370
   #evalhl :  363
   outiter :  22
   totiter :  143
   nwcalls :  22
   nwtotit :  220
   opt time:  0.10 seconds

 BALLS (index, center abcissa, center ordinate)
  1   8.1777012654793335D-01  -3.4200274370898354D-01
  2   2.4713578605984218D-01  -8.0240063755282898D-01
  3   5.0052896852044060D-01  -5.4271555009342864D-01
  4   4.1867818233568599D-01  -1.7688646671110234D-01
  5   7.8989921552968878D-01   1.0430206690183091D-01
  6  -2.0098893446349322D-01  -8.1700223122501281D-01
  7   2.6646915260059651D-02  -4.2065233659943491D-01
  8   7.7157328365141525D-03   1.0741327507125538D-02
  9   3.8284454423096542D-01   2.6385456569610349D-01
 10   7.3309327667891522D-01   5.5447898743516000D-01
 11  -4.3582681087275421D-01  -5.8338675756847302D-01
 12  -3.8522763005264027D-01  -2.1319419385776076D-01
 13  -2.0768460151378867D-02   4.5664732989483331D-01
 14   3.5563341932546316D-01   7.0913330296411681D-01
 15  -7.7444221576626104D-01  -4.0739711207032603D-01
 16  -7.8846819181879868D-01   3.0189013157175128D-02
 17  -3.9680528811101329D-01   2.2294963872378379D-01
 18  -4.7079386362502855D-02   8.9087468577190654D-01
 19  -8.0921279873243657D-01   4.4883580290356678D-01
 20  -4.3375759939740033D-01   6.6288589643574203D-01
