 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 6
   nballs ......: 70
   itrial ......: 1
   kappa .......: 0.87
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.5980762113533160D+00
   pol perimeter: 6.0000000000000000D+00

 OPTIMIZATION SUMMARY
   r ......:  1.2473383220573088D-01
   csupn ..:  6.7466308095731620D-09
   istop ..:  2
   ierr ...:  0
   itrial .:  1
   #evalf .:  1613
   #evalg .:  368
   #evalc .:  1746
   #evalj .:  368
   #evalhl :  453
   outiter :  23
   totiter :  223
   nwcalls :  23
   nwtotit :  230
   opt time:  0.72 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -4.2367737984869119D-01  -8.1254528843336826D-01
  2  -1.9812812289543974D-01  -8.1288337659929433D-01
  3   2.5997503629541174D-02  -8.0965214163731392D-01
  4   2.4661157246391560D-01  -8.0598804335641383D-01
  5   4.6395249954891010D-01  -8.0358930113788896D-01
  6  -5.3567520037838645D-01  -6.6246924598436052D-01
  7  -3.0780630739013426D-01  -6.3471572051681635D-01
  8  -8.3842370157820284D-02  -6.3181252324396009D-01
  9   1.3802847644765118D-01  -6.2491024548611263D-01
 10   3.5730376573450978D-01  -6.1886827552815538D-01
 11   5.7470033474922833D-01  -6.1656590787277876D-01
 12  -6.3653756215408097D-01  -4.8484155817426994D-01
 13  -4.1581209288063720D-01  -4.7593136460365870D-01
 14  -1.8970782775933678D-01  -4.5379163287916580D-01
 15   3.2143493127135242D-02  -4.4690932407990891D-01
 16   2.5285607897497592D-01  -4.3795957510216788D-01
 17   4.7217390985425023D-01  -4.3199128916648166D-01
 18   6.8818057119514597D-01  -4.2734056893714251D-01
 19  -7.3815388704882101D-01  -3.0883692064866430D-01
 20  -5.1667283362554350D-01  -2.9830119997996257D-01
 21  -2.9594847347578596D-01  -2.8939534080143298D-01
 22  -7.0488576857011639D-02  -2.6910121242589519D-01
 23   1.5022067689658150D-01  -2.6018984452036376D-01
 24   3.7096308132506167D-01  -2.5129174308578639D-01
 25   5.8908688066490444D-01  -2.4329663841986301D-01
 26   8.0304171604819541D-01  -2.3485770027801922D-01
 27  -8.4155279643156289D-01  -1.3267370916238475D-01
 28  -6.2007469849979469D-01  -1.2213815379250639D-01
 29  -3.9859795349377980D-01  -1.1160122625334802D-01
 30  -1.7788093215483336D-01  -1.0269960420170904D-01
 31   4.7570027758150141D-02  -8.2393705137980347D-02
 32   2.6829277439247595D-01  -7.3505707780867305D-02
 33   4.8784899581618441D-01  -6.2604017734540204D-02
 34   7.0358309184356582D-01  -5.0789778045217532D-02
 35   9.1552355154026843D-01  -3.9357269770295251D-02
 36  -9.1552355138826058D-01   3.9357269905776142D-02
 37  -7.0358309198106450D-01   5.0789778003626301D-02
 38  -4.8784899600219395D-01   6.2604017726996100D-02
 39  -2.6829277455342715D-01   7.3505707714867100D-02
 40  -4.7570027856475176D-02   8.2393705075980816D-02
 41   1.7788093207681430D-01   1.0269960418158516D-01
 42   3.9859795340094073D-01   1.1160122621295052D-01
 43   6.2007469841809448D-01   1.2213815388550021D-01
 44   8.4155279633861002D-01   1.3267370930788436D-01
 45  -8.0304171598336072D-01   2.3485770031552275D-01
 46  -5.8908688069838477D-01   2.4329663845974500D-01
 47  -3.7096308140763812D-01   2.5129174295210982D-01
 48  -1.5022067673691267D-01   2.6018984436313214D-01
 49   7.0488576885103377D-02   2.6910121241690749D-01
 50   2.9594847333034718D-01   2.8939534083547835D-01
 51   5.1667283362668182D-01   2.9830120000982474D-01
 52   7.3815388704496099D-01   3.0883692072867175D-01
 53  -6.8818057113952602D-01   4.2734056899255379D-01
 54  -4.7217390983273388D-01   4.3199128916007828D-01
 55  -2.5285607885251976D-01   4.3795957517016387D-01
 56  -3.2143492983597539D-02   4.4690932392837018D-01
 57   1.8970782770337868D-01   4.5379163286791196D-01
 58   4.1581209291578070D-01   4.7593136466002706D-01
 59   6.3653756212280199D-01   4.8484155823300301D-01
 60  -5.7470033473085025D-01   6.1656590785293175D-01
 61  -3.5730376578752771D-01   6.1886827546805012D-01
 62  -1.3802847632955573D-01   6.2491024541499207D-01
 63   8.3842370231227412D-02   6.3181252309963121D-01
 64   3.0780630740213472D-01   6.3471572059462422D-01
 65   5.3567520026101367D-01   6.6246924605878754D-01
 66  -4.6395249965155871D-01   8.0358930116682115D-01
 67  -2.4661157241925896D-01   8.0598804339325125D-01
 68  -2.5997503792446173D-02   8.0965214150572828D-01
 69   1.9812812293593757D-01   8.1288337659746079D-01
 70   4.2367737988510340D-01   8.1254528826121319D-01
