 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 4
   nballs ......: 90
   itrial ......: 2
   kappa .......: 0.85
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.0000000000000000D+00
   pol perimeter: 5.6568542494923797D+00

 OPTIMIZATION SUMMARY
   r ......:  9.6411730891149183D-02
   csupn ..:  9.3175422932745278D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  2
   #evalf .:  140
   #evalg .:  315
   #evalc .:  325
   #evalj .:  315
   #evalhl :  318
   outiter :  21
   totiter :  108
   nwcalls :  21
   nwtotit :  210
   opt time:  0.49 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -1.3541788531238955D-02  -9.0454403139851969D-01
  2   9.2777604377827644D-02  -8.2227602092245677D-01
  3   2.0714929197508936D-01  -7.1680373707176637D-01
  4   3.2459204162927091D-01  -6.0455859595610928D-01
  5   4.4159255202892755D-01  -4.8817273514246712D-01
  6   5.5851314554593923D-01  -3.7130527537491481D-01
  7   6.7463974902384227D-01  -2.5420314096187535D-01
  8   7.9031806885687728D-01  -1.3773216051791642D-01
  9   9.0609937196446744D-01  -2.1891444555205586D-02
 10  -8.4144255185464339D-02  -7.9783669356505293D-01
 11   3.5433739829008611D-02  -6.8124421966184001D-01
 12   1.5461147699365771D-01  -5.6668360884686597D-01
 13   2.7270650824463527D-01  -4.5185306625708316D-01
 14   3.8953738799221205D-01  -3.3458630190290845D-01
 15   5.0567797522057367D-01  -2.1751884919181608D-01
 16   6.2116446262322156D-01  -1.0026089062732700D-01
 17   7.3678884023435387D-01   1.6220815471789763D-02
 18   8.5256034470210174D-01   1.3205404884259486D-01
 19  -2.3782193205415647D-01  -7.4764354202081806D-01
 20  -1.1980929625059028D-01  -6.3102925592243742D-01
 21  -1.1940740205700978D-03  -5.1418694387024799D-01
 22   1.1689881269493617D-01  -3.9934365831352919D-01
 23   2.3428068835380522D-01  -2.8432747939599085D-01
 24   3.5033207360361307D-01  -1.6685915017954700D-01
 25   4.6584023228957794D-01  -4.9630484791344631D-02
 26   5.8197537926046627D-01   6.7487125587476590D-02
 27   6.9894062181521577D-01   1.8423552404868437D-01
 28  -2.8839741634190180D-01  -5.9386566597955392D-01
 29  -1.6967322126549866D-01  -4.7742930029744929D-01
 30  -5.2125667057910531D-02  -3.6030024228712854D-01
 31   6.5261215266430916D-02  -2.4526773175360944D-01
 32   1.8186437472129133D-01  -1.3004998550034658D-01
 33   2.9727710674087210D-01  -1.2419952517527484D-02
 34   4.1342129915237685D-01   1.0465991543579767D-01
 35   5.3033685741951109D-01   2.2158231817653654D-01
 36   6.4716098174285253D-01   3.3835532829018472D-01
 37  -4.4194471417358899D-01  -5.4310163907809061D-01
 38  -3.2445280265204007D-01  -4.2632326370640078D-01
 39  -2.0681206762473545D-01  -3.0961248253028156D-01
 40  -8.9980142303147798D-02  -1.9231246448112424D-01
