 PROBLEM SUMMARY
   problem .....: america   
   nballs ......: 30
   itrial ......: 6464
   kappa .......: 0.58
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.7573124999999992D-01
   pol perimeter: 4.0091662046701808D+00

 OPTIMIZATION SUMMARY
   r ......:  5.6632069037273497D-02
   csupn ..:  4.0787780930529038D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  6464
   #evalf .:  372
   #evalg .:  347
   #evalc .:  516
   #evalj .:  347
   #evalhl :  349
   outiter :  16
   totiter :  189
   nwcalls :  16
   nwtotit :  160
   opt time:  0.48 seconds

 BALLS (index, center abcissa, center ordinate)
  1   5.9779597123778716D-01   3.1467044035531816D-01
  2   6.0782163804913314D-01   4.0701687575118167D-01
  3   6.6037157854105699D-01   4.6971086607882323D-01
  4   7.2412035260110741D-01   5.4244714532872451D-01
  5   5.7303104811868555D-01   5.0572052882000940D-01
  6   6.3831980212842743D-01   5.7239136246614430D-01
  7   7.2855938167888723D-01   6.1465344701020930D-01
  8   5.5648609668588711D-01   6.0947565130087822D-01
  9   6.4533837366615687D-01   6.6785774378744911D-01
 10   5.7503415281017978D-01   7.0223892739016869D-01
 11   5.9864429986642764D-01   9.6905592554958853D-01
 12   6.4131401621601425D-01   1.0589366934702156D+00
 13   4.6588678480088241D-01   1.1369830187912369D+00
 14   5.3420122396833025D-01   8.8588439338180491D-01
 15   5.1594781903708098D-01   9.8570300715496850D-01
 16   5.6164041327465897D-01   1.0709772999665526D+00
 17   5.1735122727187832D-01   7.6933000026181964D-01
 18   4.5401695971106626D-01   8.9866225956970625D-01
 19   4.1534009598683913D-01   9.6919721574036011D-01
 20   4.5748610545636675D-01   1.0543604725265792D+00
 21   4.3316029997085875D-01   7.9334766538308366D-01
 22   3.7263174608468230D-01   8.6881789619370309D-01
 23   3.5624821861329481D-01   1.0466060922088081D+00
 24   5.3507016988139222D-01   1.1753705255681501D+00
 25   3.2871314654422673D-01   9.4909027550307068D-01
 26   3.9437435932302289D-01   1.1311694234401417D+00
 27   2.7666078524237636D-01   1.1022111931561989D+00
 28   3.2550950111714655D-01   1.1544365500596241D+00
 29   1.7068870166009328D-01   1.1277268818675188D+00
 30   2.2594893888789216D-01   1.1865507976303040D+00
