 PROBLEM SUMMARY
   problem .....: america   
   nballs ......: 10
   itrial ......: 9431
   kappa .......: 0.38
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.7573124999999992D-01
   pol perimeter: 4.0091662046701808D+00

 OPTIMIZATION SUMMARY
   r ......:  1.1073230468996481D-01
   csupn ..:  5.7340172332498440D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  9431
   #evalf .:  774
   #evalg .:  377
   #evalc .:  970
   #evalj .:  377
   #evalhl :  390
   outiter :  21
   totiter :  180
   nwcalls :  21
   nwtotit :  210
   opt time:  0.24 seconds

 BALLS (index, center abcissa, center ordinate)
  1   6.4695363466902089D-01   3.6279272778211286D-01
  2   5.7982388456756329D-01   5.3118604510551670D-01
  3   6.8971749237864699D-01   5.7094604377969727D-01
  4   5.7447092034972214D-01   7.1313303309273512D-01
  5   4.4205184837515876D-01   8.5251820186980809D-01
  6   5.8981011824096718D-01   9.8276031847061296D-01
  7   3.8690398469900233D-01   9.6606769825738426D-01
  8   6.0003892624605126D-01   1.1383852535303987D+00
  9   2.4440523719978363D-01   1.1328787712763371D+00
 10   4.1303134708076128D-01   1.1022279978052534D+00
