 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 10
   nballs ......: 70
   itrial ......: 1924
   kappa .......: 0.89
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.9389262614623659D+00
   pol perimeter: 6.1803398874989490D+00

 OPTIMIZATION SUMMARY
   r ......:  1.3400602611532583D-01
   csupn ..:  6.7488543642468812D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1924
   #evalf .:  168
   #evalg .:  320
   #evalc .:  353
   #evalj .:  320
   #evalhl :  325
   outiter :  21
   totiter :  115
   nwcalls :  21
   nwtotit :  210
   opt time:  0.39 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -2.8037698289538160D-01  -8.9892512046466777D-01
  2  -4.8026992366678914D-02  -8.7295592372850528D-01
  3   1.6709404004952869D-01  -8.6934756301795735D-01
  4   3.7977380268977579D-01  -8.6965455575873651D-01
  5  -4.4195951575262837D-01  -7.4523473169113896D-01
  6  -2.0243920046565489D-01  -6.9044738579351050D-01
  7   3.2519181023568190D-02  -6.6823654402776556D-01
  8   2.5943964118215646D-01  -6.6278078632365589D-01
  9   4.9262782227994251D-01  -6.7804402792513663D-01
 10   7.0973407307227410D-01  -6.2992438665020045D-01
 11  -7.3188088261256001D-01  -5.3174258666408891D-01
 12  -5.7732242899335628D-01  -6.2351060202155162D-01
 13  -3.6790444482243045D-01  -5.3597007937517926D-01
 14  -1.2576498921386722D-01  -4.8671195814539758D-01
 15   1.0944298916960522D-01  -4.6487120229258388D-01
 16   3.4548832710360894D-01  -4.7552388696853992D-01
 17   5.5017072750616203D-01  -4.5155228764712602D-01
 18   7.7516376659557495D-01  -4.2755904667495853D-01
 19  -7.7139626291702279D-01  -3.5639088577508832D-01
 20  -5.2664279169349359D-01  -3.8262838527327553D-01
 21  -2.8674056716365270D-01  -3.2976665485062262D-01
 22  -4.3578679081447948D-02  -2.8204623596032874D-01
 23   2.0074462201581256D-01  -2.7630126839548547D-01
 24   4.0829904251749394D-01  -2.4773956962007773D-01
 25   6.2548174004480228D-01  -2.3742402724842923D-01
 26   8.4507157652488341D-01  -2.2408183180347935D-01
 27  -8.4533334903202995D-01  -1.9003828037019199D-01
 28  -6.2342656228007043D-01  -1.8427405650179945D-01
 29  -4.0223443421702393D-01  -1.7080298427504789D-01
 30  -1.6788879421009409D-01  -1.2197834890550129D-01
 31   6.5859977942785156D-02  -9.0648483013355610D-02
 32   2.8170846296849444D-01  -4.5711293559221572D-02
 33   5.0175409820458117D-01  -3.0792653868663589D-02
 34   7.1921163869080418D-01  -2.0828855185864491D-02
 35   9.4156984605443939D-01  -1.1128782208980514D-02
 36  -9.4156984589908843D-01   1.1128782238794039D-02
 37  -7.1921163876739258D-01   2.0828855110443224D-02
 38  -5.0175409830415341D-01   3.0792653874691097D-02
 39  -2.8170846309303121D-01   4.5711293567886876D-02
 40  -6.5859978000938263D-02   9.0648483025707063D-02
 41   1.6788879417025948D-01   1.2197834896284127D-01
 42   4.0223443419480870D-01   1.7080298425060619D-01
 43   6.2342656229078475D-01   1.8427405657495113D-01
 44   8.4533334904051194D-01   1.9003828044556928D-01
 45  -8.4507157650759190D-01   2.2408183172553886D-01
 46  -6.2548174007755686D-01   2.3742402725823111D-01
 47  -4.0829904261885996D-01   2.4773956957817944D-01
 48  -2.0074462187882858D-01   2.7630126831467422D-01
 49   4.3578679086028499D-02   2.8204623603425077D-01
 50   2.8674056702828393D-01   3.2976665490862067D-01
 51   5.2664279172333928D-01   3.8262838528899934D-01
 52   7.7139626295929542D-01   3.5639088580988160D-01
 53  -7.7516376660503306D-01   4.2755904661622385D-01
 54  -5.5017072759130925D-01   4.5155228768895112D-01
 55  -3.4548832706138238D-01   4.7552388713025739D-01
 56  -1.0944298911464682D-01   4.6487120222629419D-01
 57   1.2576498912992759D-01   4.8671195811473034D-01
 58   3.6790444486592511D-01   5.3597007942139485D-01
 59   5.7732242898714270D-01   6.2351060203762720D-01
 60   7.3188088249635541D-01   5.3174258664307850D-01
 61  -7.0973407323245152D-01   6.2992438663689632D-01
 62  -4.9262782224720164D-01   6.7804402795174035D-01
 63  -2.5943964113990425D-01   6.6278078615891545D-01
 64  -3.2519181018767947D-02   6.6823654403977994D-01
 65   2.0243920037398860D-01   6.9044738582808451D-01
 66   4.4195951564811758D-01   7.4523473171356081D-01
 67  -3.7977380262308569D-01   8.6965455584347384D-01
 68  -1.6709404013996260D-01   8.6934756293361637D-01
 69   4.8026992471305263D-02   8.7295592365782848D-01
 70   2.8037698296483549D-01   8.9892512029508043D-01
