 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 9
   nballs ......: 50
   itrial ......: 34
   kappa .......: 0.78
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.8925442435894264D+00
   pol perimeter: 6.1563625798620381D+00

 OPTIMIZATION SUMMARY
   r ......:  1.5935302684466349D-01
   csupn ..:  7.9585835699447216D-09
   istop ..:  2
   ierr ...:  0
   itrial .:  34
   #evalf .:  1508
   #evalg .:  401
   #evalc .:  1712
   #evalj .:  401
   #evalhl :  404
   outiter :  23
   totiter :  174
   nwcalls :  23
   nwtotit :  230
   opt time:  0.52 seconds

 BALLS (index, center abcissa, center ordinate)
  1   3.7653703708849345D-01  -8.3602349609800686D-01
  2   5.8549082020459142D-01  -6.3593026950284659D-01
  3   7.4432622567827711D-01  -4.4498165937144046D-01
  4   8.4419284450398835D-01  -2.2259226546219593D-01
  5   9.2222156684315681D-01   6.5053579624140490D-02
  6   1.2775434000208735D-01  -8.4443221764178800D-01
  7   2.9101298426326788D-01  -6.1894627987083084D-01
  8   4.4509541505480082D-01  -4.0785915139584727D-01
  9   5.7251857871383094D-01  -2.1839117562617197D-01
 10   6.9417822109494542D-01   2.1400319279089672D-02
 11   8.1359384937833890D-01   2.8816035806604279D-01
 12  -1.2775434005185221D-01  -8.4443221766136678D-01
 13  -5.3069012432055293D-11  -6.2355135315603005D-01
 14   1.4624577001034109D-01  -4.0089131856038696D-01
 15   2.8735539206488675D-01  -1.9004919555211913D-01
 16   4.2137467446107291D-01   2.3787981077872479D-02
 17   5.5933069885941500D-01   2.6291366679506517D-01
 18   6.8750771592115911D-01   5.2398904159132187D-01
 19  -3.7653703705247588D-01  -8.3602349596332604D-01
 20  -2.9101298419284594D-01  -6.1894627997203555D-01
 21  -1.4624577006800107D-01  -4.0089131843615644D-01
 22  -7.4711410619087826D-11  -1.7823690837052894D-01
 23   1.3104758975422889D-01   4.3081245311150554D-02
 24   2.8051769240105312D-01   2.5767259699138223D-01
 25   4.2141597998143193D-01   4.9146982166524522D-01
 26   5.4703567946060039D-01   7.5260511443337730D-01
 27  -5.8549082025163068D-01  -6.3593026948412701D-01
 28  -4.4509541499305921D-01  -4.0785915123578598D-01
 29  -2.8735539199636473D-01  -1.9004919547866611D-01
 30  -1.3104758980175338D-01   4.3081245386866175D-02
 31  -2.8546387346145659D-12   2.9310837175436055D-01
 32   1.4947696397807267D-01   5.0770559609335930D-01
 33   3.0026210588511021D-01   7.4119941460312266D-01
 34  -7.4432622582487551D-01  -4.4498165934042311D-01
 35  -5.7251857855241095D-01  -2.1839117572320096D-01
 36  -4.2137467430191777D-01   2.3787981058475814D-02
 37  -2.8051769245931829D-01   2.5767259689129868D-01
 38  -1.4947696408176803D-01   5.0770559615237931D-01
 39  -8.9374004877785282D-11   6.6676692022660111D-01
 40   1.2055112264193925D-01   8.9682852901249355D-01
 41  -8.4419284440898457D-01  -2.2259226541328520D-01
 42  -6.9417822119156924D-01   2.1400319183518573D-02
 43  -5.5933069882518360D-01   2.6291366670401001D-01
 44  -4.2141597998370656D-01   4.9146982163191466D-01
 45  -3.0026210587242103D-01   7.4119941457485861D-01
 46  -1.2094249207570895D-01   8.9671064574588799D-01
 47  -9.2222156695337376D-01   6.5053579510256962D-02
 48  -8.1359384935215573D-01   2.8816035812798335D-01
 49  -6.8750771590750881D-01   5.2398904168320437D-01
 50  -5.4703567957594412D-01   7.5260511453261847D-01
