 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 12
   nballs ......: 90
   itrial ......: 26
   kappa .......: 0.20
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 3.0000000000000000D+00
   pol perimeter: 6.2116570824604969D+00

 OPTIMIZATION SUMMARY
   r ......:  1.1880674384054297D-01
   csupn ..:  9.7989163450051819D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  26
   #evalf .:  122
   #evalg .:  267
   #evalc .:  281
   #evalj .:  267
   #evalhl :  270
   outiter :  18
   totiter :  90
   nwcalls :  18
   nwtotit :  180
   opt time:  0.44 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.5803491793973783D-01  -5.2369839230374048D-02
  2   8.9650269962694673D-01   1.4536676029795495D-01
  3   8.4430662338642259D-01   3.4092172747033644D-01
  4   7.9510267544611857D-01   5.3980302058098584D-01
  5   8.7264972565891830D-01  -4.0243960005566204D-01
  6   8.4075308894969425D-01  -2.0659106708689567D-01
  7   7.5825877140008857D-01  -6.2880903359286708D-03
  8   7.0267434326011513D-01   1.9733565109202236D-01
  9   6.4677697770955445D-01   3.9923637140103357D-01
 10   6.1223309808142812D-01   6.1163321359033151D-01
 11   5.3920083210161929D-01   7.9270660380292146D-01
 12   7.3127751685483611D-01  -5.4336149224776198D-01
 13   6.7627978522673504D-01  -3.4108762896603817D-01
 14   6.3843404004712445D-01  -1.5109650159824009D-01
 15   5.6323063092053260D-01   4.9797668951593779D-02
 16   5.0609622158319145D-01   2.5197083877759502D-01
 17   4.6606695057684960D-01   4.6285327757042544D-01
 18   3.9922627082052436D-01   6.4236056547373810D-01
 19   3.4286878223873746D-01   8.4218744913829335D-01
 20   5.9080546683883883D-01  -6.8672677027008111D-01
 21   5.3510314516164370D-01  -4.8796599762145931D-01
 22   4.7521157979630291D-01  -2.9059181226279102D-01
 23   4.3828200000117429D-01  -9.9622823035677044D-02
 24   3.6657171155727680D-01   1.0472592807339806D-01
 25   3.2133291014098891D-01   3.1683389691471381D-01
 26   2.5399068159897892D-01   4.9981727402605952D-01
 27   1.9984530617100821D-01   6.9909080447564687D-01
 28   1.4905235940537023D-01   8.9428714690585676D-01
 29   4.5070220974346592D-01  -8.3929384499957438D-01
 30   3.9335467603008339D-01  -6.4014041076248507D-01
 31   3.3578247048026222D-01  -4.4331896043288743D-01
 32   2.7967712793211236D-01  -2.4210554675162449D-01
 33   2.4193268812924257D-01  -4.5854843889044587D-02
 34   1.8211790099627737D-01   1.6842862272840839D-01
 35   1.1241605432085373D-01   3.5654410946947257D-01
 36   5.4573355498698600D-02   5.5671369164185702D-01
 37  -1.9653709014362496D-03   7.5354178482953882D-01
 38  -4.7103724652188768D-02   9.5429759979198370D-01
 39   2.7079050329424526D-01  -8.1904705913581732D-01
 40   2.1062475139195797D-01  -6.1557992593239597D-01
 41   1.5483326613004542D-01  -4.0687733994673275D-01
 42   9.9264328395738191D-02  -1.9406878005439757D-01
 43   5.7653414959889258D-02   1.7195836837953719D-02
 44  -1.6106238998643205D-02   2.1953264700028416D-01
 45  -7.9731657258673899D-02   4.3010766979796050D-01
 46  -1.4155510220908507D-01   6.3778876097285753D-01
 47  -2.0130287400460128D-01   8.4212439968736164D-01
 48   1.2749775939681679D-01  -9.5975692950202207D-01
 49   7.4297569769287572D-02  -7.6191151542038815D-01
 50   2.0820546245729654D-02  -5.5712588678899844D-01
 51  -3.0557594562796747D-02  -3.4496056422622823D-01
 52  -8.4941469952197354D-02  -1.3128372532723823D-01
 53  -1.4032337530300174D-01   6.7441624280118129D-02
 54  -2.0484467260414974D-01   2.7809063797035677D-01
 55  -2.7129686555731758D-01   4.8629079833383715D-01
 56  -3.3461514447625801D-01   6.8701404586513859D-01
 57  -4.0045273686751914D-01   8.8239169946023521D-01
 58  -7.0320807721723361D-02  -9.1283848683482416D-01
