 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 5
   nballs ......: 10
   itrial ......: 7
   kappa .......: 0.71
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.3776412907378841D+00
   pol perimeter: 5.8778525229247309D+00

 OPTIMIZATION SUMMARY
   r ......:  3.4715783423734442D-01
   csupn ..:  4.7870685193629470D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  7
   #evalf .:  133
   #evalg .:  300
   #evalc .:  311
   #evalj .:  300
   #evalhl :  312
   outiter :  21
   totiter :  102
   nwcalls :  21
   nwtotit :  210
   opt time:  0.04 seconds

 BALLS (index, center abcissa, center ordinate)
  1   7.5331072748124950D-01   4.7588056169778931D-02
  2   5.1737551377546076D-01   4.6775588766149767D-01
  3   4.8234046430500649D-01  -5.1661884242127176D-01
  4   1.8719887603476654D-01   1.3304966941032483D-02
  5  -7.9358939761466554D-11   6.5282816098123830D-01
  6   6.1013324320016279D-12  -6.2622386727699986D-01
  7  -1.8719887590422044D-01   1.3304966978939660D-02
  8  -5.1737551367422818D-01   4.6775588755603836D-01
  9  -4.8234046429099781D-01  -5.1661884231808697D-01
 10  -7.5331072748599137D-01   4.7588056302663558D-02
