 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 4
   nballs ......: 22
   itrial ......: 3723
   kappa .......: 0.27
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.0000000000000000D+00
   pol perimeter: 4.0000000000000000D+00

 OPTIMIZATION SUMMARY
   r ......:  1.4368311855635948D-01
   csupn ..:  9.9956994903394047D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  3723
   #evalf .:  586
   #evalg .:  295
   #evalc .:  690
   #evalj .:  295
   #evalhl :  374
   outiter :  20
   totiter :  174
   nwcalls :  20
   nwtotit :  200
   opt time:  0.10 seconds

 BALLS (index, center abcissa, center ordinate)
  1   1.2500000007783471D-01   7.0877929631595366D-02
  2   3.7500000001602518D-01   7.0877929743541596D-02
  3   6.2499999993967736D-01   7.0877929707384477D-02
  4   8.7500000004191802D-01   7.0877929730945727D-02
  5   6.1440524130372358D-05   2.8543896491994974D-01
  6   2.5003071285701012D-01   2.8543896495298549D-01
  7   5.0000000008441914D-01   2.8543896491354837D-01
  8   7.4996928723564504D-01   2.8543896476895642D-01
  9   9.9993855946724641D-01   2.8543896494107657D-01
 10   1.2499999991795360D-01   5.0000000004404754D-01
 11   3.7499999993162431D-01   4.9999999993840794D-01
 12   6.2499999994313338D-01   5.0000000007247136D-01
 13   8.7499999994644606D-01   4.9999999998708006D-01
 14   6.1440593371646599D-05   7.1456103506008761D-01
 15   2.5003071292692153D-01   7.1456103509280777D-01
 16   5.0000000009281409D-01   7.1456103519815717D-01
 17   7.4996928714906830D-01   7.1456103523340775D-01
 18   9.9993855932789855D-01   7.1456103513255853D-01
 19   1.2499999996194387D-01   9.2912207032786120D-01
 20   3.7499999998738420D-01   9.2912207022098259D-01
 21   6.2499999995183486D-01   9.2912207031670435D-01
 22   8.7499999992275557D-01   9.2912207027232829D-01
