 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 7
   nballs ......: 20
   itrial ......: 2229
   kappa .......: 0.65
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.7364101886381045D+00
   pol perimeter: 6.0743723476458129D+00

 OPTIMIZATION SUMMARY
   r ......:  2.5202311978156949D-01
   csupn ..:  3.9563157194777432D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  2229
   #evalf .:  182
   #evalg .:  353
   #evalc .:  384
   #evalj .:  353
   #evalhl :  349
   outiter :  22
   totiter :  129
   nwcalls :  22
   nwtotit :  220
   opt time:  0.10 seconds

 BALLS (index, center abcissa, center ordinate)
  1   8.3319884200667704D-01  -2.6837228776701655D-01
  2   7.3748452469207471D-01   1.2288271049212469D-01
  3   6.7462661812181757D-01   5.3799677541569835D-01
  4   2.8390752961343452D-01   6.9165027242394017D-01
  5   5.0182580391207077D-01  -5.5544211577996372D-01
  6   3.9177761241179343D-01  -1.6171997820574968D-01
  7   3.2177372522164460D-01   2.5660598309068339D-01
  8  -7.0486600504250319D-02   4.1794101021729191D-01
  9  -7.6239449570011594D-02   8.7202725957963134D-01
 10   5.5392996214752500D-02  -4.3446849630050438D-01
 11  -2.5450401774154561D-02  -2.0296018160214167D-02
 12  -4.1124936283708585D-01   1.5068251387884726D-01
 13  -4.2984927580678384D-01   6.1284148172600561D-01
 14   2.5909093335389122D-01  -8.4356242711840501D-01
 15  -1.6742871976215234D-01  -7.2570059874051307D-01
 16  -3.6905179991729209D-01  -2.9430898956639467D-01
 17  -7.4476216466455847D-01  -1.7473571873815404D-03
 18  -7.6475939938154913D-01   4.4030528183194217D-01
 19  -4.8811048371057186D-01  -6.9110450237393239D-01
 20  -7.8239187035907687D-01  -3.2208731547328762D-01
