 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 8
   nballs ......: 100
   itrial ......: 2939
   kappa .......: 0.66
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.8284271247461903D+00
   pol perimeter: 6.1229349178414356D+00

 OPTIMIZATION SUMMARY
   r ......:  1.0934237300065705D-01
   csupn ..:  9.6522883019645178D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  2939
   #evalf .:  1447
   #evalg .:  373
   #evalc .:  1640
   #evalj .:  373
   #evalhl :  384
   outiter :  22
   totiter :  164
   nwcalls :  22
   nwtotit :  220
   opt time:  0.94 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.4776555317327549D-01  -5.4688258692713616D-03
  2   8.6900049693099557D-01   1.6818891693770921D-01
  3   7.9506091146712854D-01   3.3764580251822418D-01
  4   7.2339764026359543D-01   5.0373269004802512D-01
  5   6.4104813293667029D-01   6.3704301210037539D-01
  6   5.1216538978906900D-01   7.7095672779895053D-01
  7   8.6366761278891901D-01  -1.7849475549481955D-01
  8   7.7128904569797652D-01  -5.1829838110327370D-03
  9   6.9028084159014969D-01   1.6531766948732327D-01
 10   6.1429327550470103D-01   3.3215331258331826D-01
 11   5.3304411285375974D-01   4.7940068273604869D-01
 12   4.3721694064016509D-01   6.1529034278660621D-01
 13   3.2306709084111473D-01   7.7279077878576818D-01
 14   1.8831274687432983D-01   9.0615978093320559D-01
 15   7.9360795861695865D-01  -3.5162942829594135D-01
 16   6.8854937445206610D-01  -1.8137944475908938D-01
 17   5.9625148084925916D-01  -1.2813590310324908D-02
 18   5.1336248102283610D-01   1.5484292038601385D-01
 19   4.3055540778634949D-01   3.0928931216140648D-01
 20   3.3947982684405342D-01   4.5439701900611545D-01
 21   2.4324779946477185D-01   6.1315344571093444D-01
 22   1.2092948365603758D-01   7.4919252696527150D-01
 23   2.0088156617656073D-03   9.0171941607842676D-01
 24   7.2291600465784400D-01  -5.2654347777798416D-01
 25   6.1687588677189409D-01  -3.5644137548434895D-01
 26   5.1213741192463280D-01  -1.9157083565594540D-01
 27   4.1952611557498759D-01  -2.3517355618314011D-02
 28   3.3175513249322047D-01   1.3566959805035469D-01
 29   2.3992577345087868D-01   2.8243215696323337D-01
 30   1.5264011834541405D-01   4.4072001173321307D-01
 31   4.8231435516048554D-02   5.7802793355137583D-01
 32  -6.6276895092401894D-02   7.2848072299793598D-01
 33  -1.4083578534826055D-01   8.6756330291549011D-01
 34   6.4467076912651500D-01  -6.9360465340441857D-01
 35   5.4049379131368835D-01  -5.2325189780747650D-01
