 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 8
   nballs ......: 90
   itrial ......: 7555
   kappa .......: 0.69
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 2.8284271247461903D+00
   pol perimeter: 6.1229349178414356D+00

 OPTIMIZATION SUMMARY
   r ......:  1.1533310587096408D-01
   csupn ..:  9.5880672290604707D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  7555
   #evalf .:  911
   #evalg .:  346
   #evalc .:  1093
   #evalj .:  346
   #evalhl :  352
   outiter :  21
   totiter :  142
   nwcalls :  21
   nwtotit :  210
   opt time:  0.90 seconds

 BALLS (index, center abcissa, center ordinate)
  1  -5.8611831712967549D-02  -9.4117477827300833D-01
  2   1.1612172102892736D-01  -8.8445318153814001D-01
  3   2.9292287888285251D-01  -8.0845463722227962D-01
  4   4.7320093510156896D-01  -7.3825339541635993D-01
  5   6.6557523472080105D-01  -6.7238771654691198D-01
  6  -3.9358848133935131D-01  -8.1509380702566081D-01
  7  -1.9881362133949737D-01  -8.1577436163109540D-01
  8  -1.6581696454428810D-02  -7.3528823082998163D-01
  9   1.5623004506132721D-01  -6.7505524892206914D-01
 10   3.3978563961113939D-01  -6.0383574963833919D-01
 11   5.3178009409492688D-01  -5.4021079955925566D-01
 12   7.2796292558400233D-01  -4.8424430618410502D-01
 13  -5.5374382185246174D-01  -6.8522201394749105D-01
 14  -3.4159612560373581D-01  -6.5169424127889419D-01
 15  -1.7358557291216953D-01  -6.1508723043567270D-01
 16   1.7455801633761623D-02  -5.4165551177185489D-01
 17   2.0258936883854251D-01  -4.7219352696737404D-01
 18   3.9496134371575892D-01  -4.0645222890525912D-01
 19   5.9171745714266433D-01  -3.4752333460445994D-01
 20   7.9378493526009208D-01  -3.1113771834831339D-01
 21  -6.5975034777895736D-01  -6.1060273597316850D-01
 22  -5.0389954699087269D-01  -5.2280522829600440D-01
 23  -3.1071896937555993D-01  -4.6504103961291093D-01
 24  -1.2546558444399628D-01  -4.1691029083721676D-01
 25   6.6863893204896968D-02  -3.4463357175801784D-01
 26   2.5989369094680315D-01  -2.7439802253075363D-01
 27   4.5639123586957325D-01  -2.1345285414144038D-01
 28   6.5280405770843108D-01  -1.6639379834161591D-01
 29   8.4998816599873350D-01  -1.4840099333960774D-01
 30  -7.9817882009289343D-01  -4.5462712852863990D-01
 31  -6.4993830050318535D-01  -3.9254874261694184D-01
 32  -4.5572792281548286D-01  -3.2955391057743405D-01
 33  -2.6419682640183656D-01  -2.7020209737994944D-01
 34  -7.6580125244438108D-02  -2.2002675967429250D-01
